Gujarati	ગુજરાતી
incubator	ઉષ્માનિયંત્રક
air-conditioning	વાતાનુકૂલક
prompter	અનુબોધક
backstage	નેપથ્ય
ellipse	લંબગોળ
eraser	છેકણી
coat	અંગરખો
exaggeration	અતિશયોક્તિ
demonetization	નોટબંધી
tomato	ટામેટું
chutney	ચટણી
soft	નરમ
root	મૂળ
place	સ્થાન
ripen	પાકવું
or	અથવા
or	અથવા તો
therefore	તેથી
branch	ડાળી
color	રંગ
autobiography	આત્મકથા
preface	પ્રસ્તાવના
near	નિકટ
insistence	આગ્રહ
acceptance	સ્વીકાર
beginning	આરંભ
flame	જ્વાળા
burn	સળગવું
inflation	ફુગાવો
notable	નોંધજોગ
cottage industry	ગૃહઉદ્યોગ
swaraj	સ્વરાજ
lockout	તાળાબંધી
factorial	ક્રમગુણિત
stock market	શેરબજાર
stock broker	શેરદલાલ
ground	જમીન
root	મૂળિયું
part	ભાગ
unfit	અયોગ્ય
mountainous	ડુંગરાળ
bright	તેજસ્વી
planet	ગ્રહ
light	પ્રકાશ
heavenly	આકાશીય
chariot	રથ
charioteer	સારથિ
customer	ગ્રાહક
cashier	રોકડિયો
bench	બાંકડો
refill	ફેરભરણી
blotting paper	શાહીચૂસ કાગળ
subsection	પેટાકલમ
pencil	સીસાપેન
glasses	ચશ્માં
cultivation	કેળવણી
grief	હૈયાવરાળ
fight	લડત
burning	હૈયાબળાપો
reputation	બોલબાલા
false	જુઠ્ઠું
lie	જુઠ્ઠું બોલવું
rape	બળાત્કાર
Kali Yuga	કલિયુગ
well	કૂવો
stepwell	વાવ
one-legged	એકપગું
shallow	ઉપરછલ્લું
shallow	ઉપલકિયું
shallow	ઉપરચોટિયું
shallow	છીછરું
functional	કાર્યલક્ષી
speed	વિદ્યુતવેગ
ostrich	શાહમૃગ
blackbuck	કાળિયાર
cellar	ભોંયરું
bury	દફનાવવું
hole	ખાડો
dig	ખોદવું
thing	ચીજ
bury	દાટવું
doormat	પગલૂછણિયું
national	રાષ્ટ્રધ્વજ
bathe	નહાવું
smell	સૂંઘવું
sweet	સોડમ
કાન	કાનનો પડદો
day	પૂનમ
Sun	સૂર્ય
mouth	મોઢું
mouth	મોં
mango	અમરાઈ
mango	આંબાવાડિયું
new moon	અમાસ
switch	ચાંપ
ballot	પતાકડું
short story	ટૂંકી વાર્તા
swimming pool	તરણકુંડ
fibreglass	તંતુકાચ
helium	યાનાતિ
beryllium	વિડૂર
boron	ટાંકણ
neon	શિથિરાતિ
aluminium	સ્ફટ્યાતુ
silicon	સૈકતા
phosphorus	ભાસ્વર
sulfur	ગંધક
chlorine	નીરજી
argon	મંદાતિ
sulfuric acid	ગંધકામ્લ
salt	મીઠાવેરો
Salt March	દાંડીકૂચ
mom	મમ્મી
mom	મમ્મા
mother	મા
mother	માતા
dad	પપ્પા
ignorance	અવિદ્યા
reflected	પ્રતિબિંબિત
consciousness	ચૈતન્ય
world	સંસાર
gear wheel	દાંતાચક્ર
pendulum	લોલક
chemical	રસાયણિક
create	સર્જવું
example	ઉદાહરણ
skin	ચામડી
possibility	શક્યતા
rust	કાટ
adhesive tape	ચીકટપટ્ટી
cockroach	વંદો
nocturnal	નિશાચર
omnivorous	સર્વાહારી
abdomen	ઉદર
ant	કીડી
coat	મોવું
castor oil	દિવેલ
castor oil	એરંડિયું
necessary	આવશ્યક
glacier	હિમનદી
ice cap	હિમ ટોપી
leopard	દીપડો
cheetah	ચિત્તો
water cycle	જળ ચક્ર
available	ઉપલબ્ધ
availability	ઉપલબ્ધતા
need	આવશ્યકતા
world	વિશ્વ
gross domestic product	સકલ ઘરેલુ ઉત્પાદન
renowned	પ્રસિદ્ધ
supply	પુરવઠો
importance	મહત્ત્વ
deer	હરણ
cow	ગાય
castration	ખસી
steer	બળદ
pure	પવિત્ર
calf	વાછડો
calf	વાછડી
ghee	ઘી
classmate	સહાધ્યાયી
childhood friend	બાળમિત્ર
childhood	નાનપણ
mandir	મંદિર
birthplace	જન્મસ્થાન
spice	તેજાનો
golden	સોનેરી
Surat	સૂરતી
pray	પ્રાર્થવું
corruption	ભ્રષ્ટાચાર
Kachchi	કચ્છી
bank	બેંક
tortoiseshell	કચકડું
ruler	ફૂટપટ્ટી
waterfall	ધોધ
light year	પ્રકાશવર્ષ
aesthetics	સૌંદર્યશાસ્ત્ર
metaphysics	તત્ત્વમીમાંસા
abstract	અમૂર્ત
ethics	નીતિશાસ્ત્ર
pelican	પેણ
harrier	પટ્ટાઈ
Eurasian oystercatcher	અબલખ
black-crowned night heron	અવાક
black-crowned night heron	વાક
ashy woodswallow	અબાબીલ લટોરો
Tickell's blue flycatcher	અધરંગ
Malabar whistling thrush	ઇંદ્રરાજ
pallid harrier	ઉજળી પટ્ટાઈ
Himalayan vulture	ઉજળો ગીધ
coppersmith barbet	કંસારો
coppersmith barbet	ટુકટુક
common hawk-cuckoo	બપૈયો
altimeter	ઊંચાઈમાપક
submarine	પાણડૂબી
passport	પારપત્ર
insurance	વીમો
insurer	વીમાદાતા
underwriting	વીમાકરણ
interest	વ્યાજ
amount	રકમ
insured	વીમાકૃત
written	લેખીત
say no	નકારવું
automatically	આપમેળે
receipt	પાવતી
life insurance	જીવન વીમો
payment	ચૂકવણી
grace period	છૂટ અવધિ
three	ત્રિમાસિક
electric charge	વીજભાર
electric	વીજપંખો
voltage	વીજદાબ
repel	અપાકર્ષવું
airmail	વિમાનટપાલ
divorce	છૂટાછેડા
blog	ચિટ્ઠો
earphone	કાનદટ્ટો
sweat	પરસેવો
saltiness	ખારાશ
taste	સ્વાદ
underwear	ચડ્ડી
તડકા	તડકાનાં ચશ્માં
toothpaste	દંતમંજન
toothpick	દાંતખોતરણી
bring	લઈ આવવું
bring	લાવવું
kick	લાત મારવી
converse	વાત કરવી
lie	આડું પડવું
sit around	બેસી રહેવું
wastewater	ગંદાપાણી
impurity	અશુદ્ધિ
biotic	જૈવિક
pollution	પ્રદૂષણ
helpful	મદદરૂપ
developing	વિકાસશીલ
trustworthy	વિશ્વસનીય
industrial	ઔદ્યોગિક
question	સવાલ
sideways	પડખાભેર
heartbeat	ધબકારો
balance of trade	વ્યાપારતુલા
water	ભૂ
pound	રતલ
amber	કેરબો
and	અને
uncooked	ચોખા
plagiarism	સાહિત્યચોરી
theft	ચોરી
literature	સાહિત્ય
plagiarist	સાહિત્યચોર
thief	ચોર
shirker	કામચોર
plagiarize	સાહિત્યચોરવું
pocket	ખિસ્સું
thief	હૈયાચોર
slave	ગુલામ
deliberately	જાણીજોઈને
robber	લૂંટારો
wet dream	સ્વપ્નદોષ
kumkum	કંકુ
sandalwood	ચંદન
sandalwood	સુખડ
sweet-smelling	સુગંધીદાર
amber	હિમાલય
industrious	ઉદ્યોગી
smell-brain	ઘ્રાણમસ્તિષ્ક
horn	શિંગડું
animal	પશુ
trumpet	રણશિંગું
molasses	કાકવી
kadhai	કઢાઈ
iron	લોખંડ
apricot	જરદાળુ
cantaloupe	સક્કરટેટી
this	આણે
this	આને
these	આઓ
patola	પટોળું
design	નારીકુંજર
cooked rice	ભાત
design	પાનભાત
sari	સાડી
silk	રેશમ
Onam	ઓણમ
silky	રેશમી
silky	હીરાગળ
velvet	મખમલ
adjective	-ઈ
strike	હડતાળ
bier	ઠાઠડી
bat	ચામાચીડિયું
population	વસ્તી
drink	પીણું
stockade	લક્કડકોટ
woodpecker	લક્કડખોદ
paralysis	લકવો
paralysis	પક્ષાઘાત
polio	બાળ લકવો
delirium	ચિત્તભ્રમણા
nightmare	દુઃસ્વપ્ન
terrifying	ઓથાર
spelling	લિપિધારા
spelling	જોડણી
small	ચોપડી
small	પોથી
Navaratri	નોરતાં
Navaratri	નવરાત્રિ
lemongrass	લીલી ચા
tea	ચા
hot	લૂ
scroll bar	સરકપટ્ટી
toolbar	સાધનપટ્ટી
sow	વાવવું
welcome	સ્વાગત
information	જાણકારી
programming	ક્રમાદેશન
programmer	ક્રમાદેશક
welcome	ભલે પધાર્યા
reptile	સરીસૃપ
absence	ગેરહાજરી
spinal cord	કરોડરજ્જુ
skeleton	હાડપિંજર
weak	દૂબળું
scale	ભીંગડું
fossilized	અશ્મિભૂત
coral	પરવાળું
small	વાદળી
cocoon	કોશેટો
beehive	મધપૂડો
jawbone	જડબું
fossil	જીવાશ્મ
self-defense	સ્વબચાવ
manking	માનવજાત
rocky	પથરાળ
repeated	પસ્તાળ
breath	શ્વાસ
take a breath	શ્વાસ લેવો
mirage	મૃગજળ
frightful	વિકરાળ
walnut	અખરોટ
achar	અથાણું
mountainous	ડુંગરી
hill	ડુંગર
mustard seed	રાઈ
raita	રાઈતું
kachumber	કચુંબર
cucumber	કાકડી
lithiasis	અશ્મરી
cucumber	આરિયું
turnip	સલગમ
barley	જવ
poha	પૌંઆ
lioness	સિંહણ
finger millet	નાગલી
cash crop	રોકડીયો પાક
Esperanto	એસ્પેરાન્તો
health	સ્વાસ્થ્ય
many	ખૂબ
beneficial	લાભદાયક
perfectness	સંપૂર્ણપણું
completely	સંપૂર્ણપણે
nature	નૈસર્ગિક
nature	નિસર્ગ
hale	તંદુરસ્ત
benefit	ફાયદો
weight	વજન
beneficial	લાભદાયી
less	ઓછું
quantity	પ્રમાણ
hunger	ભૂખ
control	નિયંત્રણ
meal	ભોજન
eat	ભોજન કરવું
controlled	નિયંત્રિત
bright	ચમકીલું
dhokla	ઢોકળું
khaman	ખમણ
khandvi	ખાંડવી
chhundo	છૂંદો
dhebra	ઢેબરું
dhebra	થેપલું
chevda	ચેવડો
sev	સેવ
kachori	કચોરી
લસણ	લસણની ચટણી
copra	કોપરું
handvo	હાંડવો
dabeli	દાબેલી
amchur	આમચૂર
sweet	ગોળ કેરી
mango	કેરી
ganthiya	ગાંઠિયો
nipple	ડીંટડી
rump	કૂલો
buttock	ધગડો
buttock	ઢગરું
sheera	શીરો
panchamrita	પંચામૃત
Ekadashi	અગિયારસ
guest	મહેમાન
sweet	મીઠાઈ
barfi	બરફી
peda	પેંડો
laddu	લાડવો
pistachio	પિસ્તા
falooda	ફાલુદા
chikki	ચીકી
motichur	મોતીચૂર
mohanthal	મોહનથાળ
shrikhand	શ્રીખંડ
kaju katli	કાજુ કતરી
gulab jambu	ગુલાબ જાંબુ
jambul	જાંબુ
shankarpali	શક્કરપારો
chaas	છાશ
jalebi	જલેબી
khichdi	ખીચડી
India	ભારતીય
dish	વાનગી
make	બનાવવું
digest	પચવું
difficult	અઘરું
half-naked	અર્ધનગ્ન
burp	ઓડકાર
stopping	નિરોધ
birth control	સંતતિનિયમન
family planning	કુટુંબનિયોજન
childbirth	બાળજન્મ
miscarriage	કસુવાવડ
naturopathy	નિસર્ગોપચાર
every	દરેક
corpulent	અદોદળું
kadhi	કઢી
shore	કિનારો
be	હોવું
multiplication table	પહાડા
multiplication table	ઘડિયા
economy	અર્થતંત્ર
rose-ringed parakeet	સૂડો
blossom-headed parakeet	તુઈ
typist	ટંકલેખક
screw	પેચ
screwdriver	પેચકસ
towel	ટુવાલ
jackal	શિયાળ
duck	બતક
swan	હંસ
wristwatch	કાંડાઘડિયાળ
newspaper	છાપું
physics	ભૌતિકવિજ્ઞાન
chemistry	રસાયણવિજ્ઞાન
chemistry	રસાયણશાસ્ત્ર
breastfeed	ધવરાવવું
stomach	પેટ
anatomy	શરીરરચનાશાસ્ત્ર
mathematics	ગણિતશાસ્ત્ર
geometry	ભૂમિતિ
trigonometry	ત્રિકોણમિતિ
calculus	કલનશાસ્ત્ર
mathematician	ગણિતજ્ઞ
logician	તર્કજ્ઞ
analysis	પૃથક્કરણ
measurement	માપણી
logic	તર્કશાસ્ત્ર
past	ભૂતકાળ
renaissance	નવજાગૃતિ
statistics	આંકડાશાસ્ત્ર
finance	નાણાંશાસ્ત્ર
archeology	પુરાતત્વશાસ્ત્ર
multiplication	ગુણાકાર
division	ભાગાકાર
abacus	મણકાઘોડી
integration	સંકલન
vector	સદિશ
sine	જ્યા
cosine	કોટિજ્યા
radius	ત્રિજ્યા
bowstring	પણછ
tangent	સ્પર્શજ્યા
variable	ચલ
old	જગજૂનું
numerology	અંકશાસ્ત્ર
equation	સમીકરણ
engineering	અભિયાંત્રિકી
be	શકવું
civil war	આંતરવિગ્રહ
fight	ઝઘડવું
air	હવા
Naraka	નરક
witness	સાક્ષી
ledger	ચોપડો
thymus	બાલ્યગ્રંથિ
integumentary system	બાહ્યાવરણ તંત્ર
integumentary system	આવરણ તંત્ર
sweat gland	પ્રસ્વેદ ગ્રંથિ
cartilage	કુમળું હાડકું
cartilage	કૂણું હાડકું
for	તરીકે
way	તરીકો
third person	તે
on	પર
આમ	કેમ
these	આજકાલ
today	આજ
tomorrow	કાલ
મજા	મજામાં છું
state	તબિયત
maintain	જાળવવું
many	બહુ
then	ત્યારે
hot	ગરમ
no	ના
part	ખંડ
garden	બાગ
front	આગળ
forehead	કપાળ
in	માં
eyelid	પોપચું
eyelash	પાંપણ
cheek	ગાલ
lip	ઓઠ
face	ચહેરો
moustache	મૂછ
heart	હૃદય
rib	પાંસળી
send	મોકલવું
hug	ભેટ
therefore	એટલે
probably	મોટે ભાગે
see	દેખવું
village	ગામ
garden	બગીચો
buying	ખરીદી
fresh	તાજું
value	ભાવ
equal	બરાબર
weight	જોખ
interrogative pronoun	શું
but	પણ
entire	બાધું
weigh	જોખવું
closed	બંધ
rest	આરામ
why	શાને
above	ઊપર
place	જગ્યા
come	આવજો
reference book	સંદર્ભગ્રંથ
lifeboat	જીવાહોડી
boat	હોડી
shipyard	જહાજવાડો
life	જીવ
compound	વાડો
other	અન્ય
heavy	ભારે
narrow	સાંકડું
leaf	પાંદડું
prosperous	સમૃદ્ધ
vomit	ઓકવું
sick	બીમાર
depart	નીકળવું
childhood	બાળપણ
puddle	ખાબોચિયું
navy	નૌસેના
dead	મૃતદેહ
Ceylon leadwort	ચીતરમુબ
gound	ચીપડો
scream	ચીસ
tack	ચૂંક
nosering	નથણી
tobacco pipe	ચુંગી
white	ચુંચુની
lime	ચૂનો
cart	છકડું
bloodthirsty	લોહીતરસ્યું
bloody	લોહીલુહાણ
fire-breathing	આગ-ફૂંકતું
constellation	તારામંડળ
small	ચાંદરણી
Milky Way	આકાશગંગા
nebula	નિહારિકા
proton	પ્રાણુ
meson	મધ્યાણુ
lifeless	નિર્જીવ
know	ખબર હોવી
defeat	હરાવવું
hear	સાંભળવું
optics	પ્રકાશશાસ્ત્ર
dynamics	ગતિશાસ્ત્ર
cathode	ઋણધ્રુવ
anode	ધનધ્રુવ
electrolysis	વિદ્યુતવિભાજન
electrolyte	વિદ્યુતવિભાજ્ય
lasting	અલ્પકાલીન
act	લઘુશંકા
pillar	થાંભલો
colored pencil	રંગીન સીસાપેન
colorful	રંગબેરંગી
sorry	ક્ષમાપ્રાર્થી
parliament	લોકસભા
choosing	ચૂંટણી
purifier	શુદ્ધિકર્તા
glue	ગુંદર
navel	દૂંટી
carrot	ગાજર
rationing	ફાળવણી
rationing	માપબંધી
wax	મીણ
waxcloth	મીણકાપડ
candle	મીણબત્તી
dyeing	રંગાટકામ
resin	રાળ
aloe vera	કુંવારપાઠું
turpentine	ટરપિથ
frankincense	લોબાન
censer	ધૂપિયું
frankincense	લોબાનદાની
beautiful	સુંદર
feather	પીંછાકાર
ash	રાખોડિયું
trunk	થડ
rent	ભાડાચિઠ્ઠી
fist	મૂઠી
grain	ધાન
without	વિના
child	બાળ
godless	પ્રભુહીન
day and night	અહોરાત
wealthy	ધનિક
possessive	તણું
possessive	કેરું
stumble	લથડવું
stumble	લથડિયું
woman	નાર
road	ગલી
back-breaking	મજૂરી
dawn	પરોઢ
jail	કેદખાનું
fall	શમવું
sugarcane	ચિચોડો
mason	કડિયો
potter	નિભાડો
brickyard	ઈંટવાડો
brickdust	છારું
nutcracker	સૂડી
stethoscope	ઉરોદર્શક
photon	પ્રકાશાણુ
electron	વીજાણુ
shoe	જૂતું
tuberculosis	ઘાસણી
tuberculosis	ક્ષયરોગ
saltpetre	સૂરોખાર
silver nitrate	કાડીખાર
monkey	વાંદર
borax	ટંકણખાર
carbonate of potash	જવખાર
locust	તીડ
husband	નાવલિયો
covalent	સહસંયોજક
circumstance	સંજોગ
knee	ઘૂંટણ
Dalit	દલિત
prime minister	વડાપ્રધાન
when	જ્યારે
that	તેમ
front	સામે
chaos	અતંત્રતા
more	વધારે
join	જોડવું
counterweight	ધડો
weight	વજનિયું
oil	ઘાણી
gate	ઝાંપો
pomegranate	ڈاڑم
cloud	وادل
interrogative pronoun	سوں
sweet	سوڑم
bitterness	کڑواس
guide	ભોમિયો
mountain	پھاڑ
fan	پنکھو
cow	گاي
storey	તબક્કો
marsh	કચ્છ
then	તો
joy	મજા
Pakistani	પાકિસ્તાની
not	નથી
Bengali	બંગાળી
Punjabi	પંજાબી
conversation	વાતચીત
until	સુધી
warm	હૂંફાળું
beginning	શરૂઆત
here	અહીં
sister	બહેન
yes	હા
clever	હોશિયાર
lazy	આળસુ
there	પેલું
good	ભલે
read	વાંચવું
time	વખત
room	ઓરડો
Muslim	મુસલમાન
Parsi	પારસી
second-person	આપ
skin	નૈયું
verdict	ચુકાદો
applicant	અરજદાર
solder	રેણ કરવું
welding	ઝારણકામ
bedsheet	ચાદર
welder	રેણગર
solder	રેણ
engrave	કોતરવું
corpse	મડદું
deep	સુષુપ્તિ
dreamless	સ્વપ્નરહિત
terrace	અગાશી
before	સૌપ્રથમ
after	બાદ
kill	હણવું
pleased	રીઝવું
satisfaction	સંતોષ
look	સોહવું
lump	પોદળો
guidance	માર્ગદર્શન
caricature	ઠઠ્ઠાચિત્ર
lacquerwork	લાખકામ
loan	દેવામાફી
farmer	ખેડૂત
plough	ખેડવું
who	કોણ
woman	સ્ત્રી
when	ક્યારે
how	કેવી રીતે
not	નહીં
wife	પત્ની
husband	પતિ
spit	થૂંકવું
spit	થૂંક
spittoon	થૂંકદાની
flashlight	હાથબત્તી
harmonium	પેટીવાજું
mordant	રંગરખું
electric	વીજરખું
termite	ઊધઈ
investment	મૂડીરોકાણ
capital	મૂડી
land	મોજણી
fandom	ચાહકજગત
Green Revolution	હરિયાળીક્રાંતિ
nuclear war	અણુયુદ્ધ
wildfire	દાવાનળ
firewood	ઈંધણ
polling station	મતદાનમથક
voting	મતદાન
kiln	ભઠ્ઠી
food	ખોરાક
tank	રણગાડી
white lead	સફેદો
painting	રંગકામ
child	બાળલગ્ન
elephantiasis	શ્લીપદ
elephantiasis	હાથીપગું
revolution	ક્રાંતિ
oh	ઓહો
behind	પાછળ
vegetable	શાકભાજી
office	ઑફિસ
festival	તહેવાર
know	આવડવું
totally	તદ્દન
piece	કટકો
for	માટે
thesis	મહાશોધ નિબંધ
present	રજૂ કરવું
regarding	પ્રત્યે
union	દૈવયોગે
weir	આડબંધ
foothill	તળેટી
century	સદી
flood	પૂર
possession	પાસે
subscription	લવાજમ
detail	વિગત
written	લખાણ
mortgaging	ગીરો
mortgage	ગીરવવું
anvil	એરણ
little finger	ટચલી આંગળી
finger	આંગળી
પાસે	પાસેની આંગળી
middle finger	વચલી આંગળી
louse	ટોકળો
louse	જૂ
unsewn	લૂગડું
neuter	-ઉં
civilized	સભ્ય
skeleton	કંકાલ
free of charge	વિનામૂલ્યે
heel	એડી
watermelon	કલિંગર
coconut	શ્રીફળ
trough	હવાડો
udder	આઉ
frightening	બિહામણું
bugbear	હાઉ
house	ઘરવેરો
online	જાળે
rain	મેહુલિયો
sudden	ઝાપટું
holder	કંકાવટી
ash	રાખ
slender	નાવડી
near	નજીક
mother	મોસાળ
coast	કાંઠો
alone	એકલું
single	કુંવારું
uncultivated	શેઢો
support	ઓથ
limb	અંગેઅંગ
village	ગામડું
rude	તોછડું
cowherd	ગોવાળ
four	ચોમેર
see	ભાળવું
moo	ભાંભરવું
nagara	નરઘું
drip	ઝરવું
dim	ઝાંખું
sleeping	પોઢણ
female	સજની
still	હજી
request	અરજી
guest	પરોણો
top	ભમરડો
lathe	સંઘાડો
gaze	તાકવું
deep	ઊંડું
hot	ઊનું
naphtha	નખતેલ
lanolin	ઊનતેલ
lathe	ગચ્છ
cholera	કોગળિયું
epidemic	મહામારી
sticky	ચેપી
anal	ભગંદર
pestilence	મરકી
influenza	ટૂંટિયું
lip	લોકહોઠે
tilak	તિલક
tilak	ટીલું
hat	ટોપી
royal	રાજમુગટ
bubonic plague	ગાંઠિયો તાવ
knotty	ગાંઠિયું
spread	વાવર
epidemiology	વાવરવિજ્ઞાન
spread	રોગચાળો
inactive	નિષ્ક્રિય
thickness	જાડાઈ
identifier	ઓળખકર્તા
tooltip	સાધનટિપ્પણી
restoration	પુનઃસંગ્રહ
identity	ઓળખ
string	શબ્દમાળા
ruler	માપપટ્ટી
color space	રંગજગ્યા
palette	તકતી
refresh	પુનઃતાજું કરવું
filter	ગાળક
write	કવવું
chalk	ખડી
sky	ગરજવું
lion	સાવજ
saffron	કેસરી
proud	માતેલું
sea	સમદર
moustached	મૂછાળું
dreadlock	જટાળું
woman	નારી
hero	ભડવીર
mountainous	ડાંગ
bangle	ચૂંદડિયાળું
fortunate	સોહાગ
spitting	આગ ઝરવી
as if	જાણે
subject	પ્રકરણ
fraud	છેતરપિંડી
honesty	ઈમાનદારી
bake	શેકવું
put in	નાખવું
late	મોડું
however	ગમે તેમ
please	ગમવું
hail	કરા
ceremony	જશન
leprosy	રક્તપિત્ત
ajwain	અજમો
Malabar nut	અરડૂસી
diminutive	લઘુતાદર્શક
crown flower	આંકડો
forest	વન
husband	વર
road	વાટ
king	રાજા
infantry	પાયદળ
vizier	વજીર
piece	મહોરું
chopat	ચોપાટ
piece	સોગટું
game of skill	બુદ્ધિરમત
Egypt	મિસર
Greece	યૂનાન
war	યુદ્ધપ્રિય
chariot	રથદોડ
soccer	પગદડો
babble	બબડવું
born	જન્મવું
bloom	ખીલવું
duel	દ્વંદ્વયુદ્ધ
Dutchman	વલંદો
steam engine	વરાળયંત્ર
name	નામાંકિત
known	જાણીતું
world-famous	જગજાણીતું
industrialist	ઉદ્યોગપતિ
inspection	તપાસણી
lotus	પદ્મ
lotus	કમળ
pistil	સ્ત્રીકેસર
stamen	પુંકેસર
peduncle	દીંટું
tuberose	ગુલછડી
life	જીવતર
education	ભણતર
calculation	ગણતર
champac	ચંપો
scorpion	વીંછી
karela	કારેલું
investigate	તપાસવું
adverb	ક્રિયાવિશેષણ
both	બંને
praise	વખાણવું
today	આજે
shop	દુકાન
hatred	નફરત
only	માત્ર
claim	દાવો
Indian mackerel	બાંગડી
book lover	પુસ્તકપ્રેમી
crowded	ભરચક
reader	વાચક
interim	વચગાળો
mushroom	કાગછત્તર
બિલાડી	બિલાડીનો ટોપ
electric	વીજબત્તી
late	મોડીરાત્રે
makeup	ટાપટીપ
Bermuda grass	ધ્રોખડ
Bermuda grass	ધરો
grassland	બીડ
breadfruit	નીરફણસ
release	મળશુદ્ધિ
lump sugar	ખડી સાકર
Andaman redwood	આંદામાન પદૌક
padauk	પદૌક
pomelo	ચકોતરું
know	પ્રીછવું
yellow bittern	પીળી પાનબગલી
elephant	મેગળ
haiku	હાઇકુ
haiku	સત્તરાક્ષરી
chopstick	હાશી
kimono	કીમોનો
me	મુજને
anniversary	વર્ષગાંઠ
this	એટલું
this	તેટલું
want	જોઈવું
everywhere	બધે
woman	અઘરણી
bathing	અંઘોળ
inconceivable	અચિંત્ય
Tunggal	તૂંગાલ
democracy	લોકશાહી
mobocracy	ટોળાશાહી
thugocracy	ગુંડાશાહી
mom	બા
list	યાદી
remember	સંભારવું
hunt	શિકાર
hunt	શિકાર કરવો
vow	અણસણ
half	અર્ધું
below	નીચે
cold	ઠંડી
thirst	તરસ
and	તથા
beneficial	ફાયદાકારક
cash	રોકડ
coffee bean	બૂંદદાણો
definition	વ્યાખ્યા
adverb	ક્રિયાવિશેષણઅવ્યય
adposition	શબ્દયોગીઅવ્યય
decision	ઠરાવ
custom	ધારો
sundial	છાયાયંત્ર
ratio	ગુણોત્તર
redness	લાલી
plane	રંદો
producer	ઉત્પાદક
world-famous	જગપ્રસિદ્ધ
screwdriver	પેચિયું
sickle	દાતરડું
poverty	દળદર
scarecrow	ચાડિયો
spinning wheel	ચરખો
watering can	ઝારી
tailor	દરજી
garbage can	કચરાપેટી
handpump	ડંકી
printer	છાપયંત્ર
misprint	છાપભૂલ
fireball	અગનગોળો
plate	થાળી
neck	ડોકું
Adam's apple	નરગોટો
Adam's apple	હૈડિયો
teapot	ચાદાની
swastika	સાથિયો
mandapa	માંડવો
housebuilding	ઘરબાંધકામ
pyau	પરબ
wheel	પૈડું
genealogy	વંશાવળી
gill	ચૂંઈ
gonorrhea	પરમિયો
torchbearer	મશાલચી
give birth	જણવું
bringing	પ્રસવ
engage	નશાખોર
player	ખેલાડી
winner	વિજેતા
volleyball	મારદડો
Turkey	તુર્કસ્તાન
basketball	ટોપલીદડો
reallocation	પુનઃફાળવણી
republished	પુનઃપ્રકાશિત
Wales	વેલ્સ
Wales	કમરી
lodestone	લોહચુંબક
pain	પીડા
amrit	અમી
constant	સતત
still	હજુ
yatra	યાત્રિક
protected	સુરક્ષિત
pleasure	હાથરસ
excessive	અતિવૃષ્ટિ
rain	વૃષ્ટિ
floodgate	પૂરદ્વાર
fire-engine	લાયબંબો
flood	પૂરગ્રસ્ત
tollgate	જકાતનાકું
rush	ત્રાટકવું
romantic	પ્રેમ
love	પ્રેમકથા
god	મેઘરાજા
completely	રસતરબોળ
લઘુત્તમ	લઘુત્તમ ટેકાનો ભાવ
hearing	સાંભળતાંવેંત
માં	હાથવેંત
moon	ચંદ્રમા
lover	પેમલો
lover	પેમલી
love letter	પ્રેમપત્ર
poison	વખ
poison	વિખ
obstacle	વઘન
obstacle	વિઘન
lord	નાહો
road	માગ
fishmarket	માછલીપીઠ
fishmarket	મચ્છીબજાર
fishmarket	મચ્છીપીઠ
grain	કણપીઠ
grain	દાણાપીઠ
grain	દાણાબજાર
banana	કેળાંપીઠ
grass	ખડપીઠ
vegetable	શાકપીઠ
Epsom salt	વિલાયતી મીઠું
caraway	વિલાયતી જીરું
Indian almond	બંગાળી બદામ
old	સૃજનજૂનું
short	લઘુનવલ
electric	વીજચોરી
drop	વિષબિંદુ
undesired	વિષફળ
eating	વિષભક્ષણ
mirror	આરસી
mirror	ચાટલું
different	વિધર્મ
different	વિધર્મી
persecution	ત્રાસ
nursing home	વૃદ્ધાશ્રમ
old age	જીવનસંધ્યા
child	ચેલો
child	ચેલું
child	ચેલી
horse	ઘોડી
impossible	અશક્ય
about	આશરે
first	પ્રથમ
make	ગાળવું
attack	હુમલો
attack	ચડાઈ
sleep	સૂવું
fight	ઝઘડો
asylum	રાજ્યાશ્રય
delegation	પ્રતિનિધિમંડળ
response	પ્રત્યુત્તર
cup	પ્યાલો
resignation	રાજીનામું
bacillus	દંડાણુ
ready	તૈયાર
late	મરહૂમ
bedbug	માકણ
bedbug	માંકડ
intelligence	બુદ્ધિ
wheel	રથચક્ર
chariot	રથકાર
gramophone	થાળીવાજું
gramophone	તાવડીવાજું
British	છત્રીવાજું
lumberjack	કઠિયારો
sea	રહેમાની
asks	યાચક
leadership	નેતૃત્વ
plant	ઉદ્ભિદ
police	આરક્ષી
tulsi	તુલસી
good news	વધાઈ
smell	વાસ
વાસ	વાસ મારવી
metal	શિરસ્ત્રાણ
fighter	લડવૈયો
builder	ઘડવૈયો
doer	કરવૈયો
water carrier	પખાલી
waterskin	પખાલ
water carrier	ખેવૈયો
singer	ગવૈયો
herder	ચરવૈયો
swimmer	તરવૈયો
arrow	તીર
dancer	નચવૈયો
server	પીરસૈયો
place	અપૈયો
player	બજવૈયો
outer space	અંતરિક્ષ
water	અંતરિક્ષજળ
space travel	અંતરિક્ષગમન
vacuum	શૂન્યાવકાશ
integer	પૂર્ણાંક
