hour	ঘণ্টা
millipede	কেৰেলুৱা
millipede	কান কেৰেলুৱা
relative	মিতিৰ
relative	বঙহ
inhalation	উশাহ
courage	সাহ
exhalation	নিশাহ
fire	আগুনি
family	পৰিয়াল
feast	ভোজ
knife	দা
axe	কুঠাৰ
dust	ধূলি
betel nut	তামোল
son	পুত
plate	থালি
plate	কাঁহী
voice	মাত
rainy season	বাৰিষা
monsoon	মৌচুমী
jujube	বগৰী
chickpea	বুট
mantis	গাগিনী
spinning wheel	যঁতৰ
loom	তাঁত
তাঁত	তাঁতশাল
drain	খাল
shuttle	মাকো
cobra	ফেঁটী সাপ
cobra	ফেঁটী
chicken	কুকুৰা
glue	এঠা
glue	আঠা
collection	থুঁপ
sheep	ভেৰা
চৰ্বত	ছৰ্পত
juice	ৰস
juice	ৰহ
radish	মূলা
nest	বাহা
dolphin	শিহু
submarine	শিহুজাহাজ
wish	হেঁপাহ
complexion	বৰণ
brown	মটীয়া
gray	ধোঁৱা বৰণীয়া
you	আপোনালোক
you	তহঁত
you	তোমালোক
handkerchief	ৰুমাল
gas	গেছ
take	নিয়া
carry	কঢ়িওৱা
seventeen	সোতৰ
eighteen	ওঠৰ
nineteen	ঊনৈছ
twenty	বিছ
twenty-one	একৈছ
lost	হৰা
enter	সোমোৱা
fill	ভৰোৱা
pour	ঢালা
heart	হিয়া
how	কেনেকুৱা
how	কেনেকৈ
how	কেনেকে
as much	যিমান
that much	সিমান
this much	ইমান
point	জোং
river	গাং
like	যেনে
such	এনে
of that sort	তেনে
then	তেনেহ’লে
king	ৰজা
where	য’ত
then	তেনেহলে
son	পো
daughter	জী
shut	জপোৱা
shut	মুদা
feel	লগা
get filled	ভৰা
wet	ভিজা
moist	জেকা
moist	সেমেকা
wet	তিওৱা
wet	ভিজোৱা
scratch	আঁচোৰ
line	আঁচ
vote	ভোট
Bhutanese people	ভূটীয়া
buried	পোতা
Assamese	অ’
Assamese	এ’
bud	কলি
fit in	অটা
shortage	নাটনি
shortage	অনাটন
shortage	অভাৱ
cough	কহা
bhut jolokia	ভূত-জলকীয়া
bhut jolokia	বিহ-জলকীয়া
bhut jolokia	নগা-জলকীয়া
increase	বাঢ়
increase	বাঢ়া
increase	বঢ়োৱা
decrease	কমোৱা
decrease	কমা
less	কম
sprout	গজা
sprout	গজালি
nail	গজাল
divide	ভগোৱা
distribute	বিলা
mount	উঠোৱা
learn	শিকোওৱা
post	খুটি
peg	খুঁটি
bury	কবৰ দিয়া
give	দিওৱা
get down	নমা
with	লগত
collect	গোটোৱা
checkmate	কিস্তি মাৎ
popular	জনপ্ৰিয়
popular	লোকপ্ৰিয়
popularity	জনপ্ৰিয়তা
chess	দবাখেল
diver	ডুবাৰু
ghost	ভূত
cover	ঢাকনি
covered	ঢকা
cake	পিঠা
cake	কে’ক
take down	নমোৱা
remove	গুচোৱা
peel	বাকলি গুচোৱা
peel	বখলিওৱা
peel	ছেলোৱা
coconut	নাৰিকল
go away	গুচা
leave	এৰোৱা
move	আঁতৰা
placed	বহোৱা
put	থোৱা
climb	বগোৱা
kans grass	কঁহুৱা
sewali	শেৱালি
Bihu	বিহু
gamosa	গামোচা
wiped	মচা
sweeped	জৰা
broom	জাৰু
broom	বাঢ়নী
boiled	উতলা
boiled	সিজা
boiled	সিজোৱা
boiled	উতলোৱা
Devanagari	দেৱনাগৰী
say	কোওৱা
tremble	কঁপা
earthquake	ভূঁইকঁপ
earth	ভূঁই
chili	ভূঁই-জালুক
poop	হগা
feces	গু
stand	থিয় হোৱা
erect	থিয় কৰা
vertical	থিয়
stiff	থিৰ
spray	সিঁচা
spray	ছটিওৱা
solid	গোটা
coalesce	গোট খোৱা
fruit	গোট
liquid	জুলীয়া
liquid	পনীয়া
gaseous	গেছীয়
gaseous	গেছীয়া
thorn	কাঁইট
thorn	কঁটা
thorn	কাঁটা
drive	চলোৱা
laziness	এলাহ
lazy	এলেহুৱা
lazy	লেধা
lazy	বহিখোৱা
outside	বাহিৰ
storm	ধুমুহা
moonlight	জোনাক
firefly	জোনাকী
fireplace	জুইশাল
matchbox	জুইশলা
wing	ডেউকা
tin	ৰাং
dhole	ৰাং কুকুৰ
beehive	মৌচাক
foil	ৰাংপতা
jolly	ৰাংঢালী
paper bag	ঠোঙা
polythene bag	পলিথিন
lobster	ডাঙৰ মিছামাছ
fat	গাৱাল
tear	চকুপানী
tear	চকুলো
spectacles	চৌখা
chulha	চৌকা
boy	ছৱাল
heifer	চেউৰী
calf	দমৰা
grasshopper	ফৰিং
dragonfly	জিয়াঁ
trigger	ফৰিঙা
morning	ৰাতিপুৱা
morning	পুৱা
।	আলি
condensed milk	খীৰ
milked	খিৰোৱা
dairy	গাখীৰজাত
milk tooth	গাখীৰদাঁত
dry	শুকান
garlic	লহুন
tetrapod	পোৱালী
room	পুলি
baby fish	পোনা
dry	ৰ’দোৱা
city	নগৰ
door	দৰ্জা
knock	টুকুৰিওৱা
separated	বেলেগ কৰা
tetrapod	ছাৱ
tetrapod	ছনা
tetrapod	ছানা
plough	নাঙল
ploughing	হাল বোৱা
lie	মিছা
jump	জাঁপ
pointed out	আঙুলিওৱা
pointed out	আঙুলিয়াই দিয়া
carry	নিওৱা
fishhook	বৰশী
lower part	নামনি
lean	নৰম
torrent	হাৱৰ
plougher	হালোৱা
lean	হলা
lean	আঁউজা
lean	কাতি হোৱা
lean	কাতি কৰা
lean	হলোৱা
rib	কামিহাড়
wicker	কামি
bone	হাড়
understand	বুজি পোৱা
load	বোজা
slip	পিচলা
sugar cane	কুঁহিয়াৰ
notebook	বহী
girl	ঝীয়া
buffalo	মৈহ
man	মুনিহ
younger sister	ভনী
younger sister	ভনীটি
younger sister	ভণ্টি
bring out	উলিওৱা
crooked	বেঁকা
straight	পোন
onion	পিয়াঁজ
shallot	পনৰু
collect	সামৰ
anger	খং
Thursday	গুৰুবাৰ
Sunday	ৰবিবাৰ
rheum	শেঙুন
yam	কাঠ আলু
pencil	কাঠ-পেঞ্চিল
polypore mushroom	কাঠফুলা
mushroom	বেংছটা
black-rumped flameback	কাঠৰোকা
niggard	বাঢ়ৈটোকা
built	সজা
decorated	সজোৱা
ready	সাজু
meal	সাঁজ
evening	গধূলি
evening	সন্ধিয়া
gold	সোণ
blossom	ফুলোৱা
wife	ঘৈণী
husband	গিৰি
husband	পৈ
market	বজাৰ
mattress	তুলী
paintbrush	তুলি
paintbrush	তূলী
lifted	তোলা
lifted	দঙা
drinker	পিয়া
oriental garden lizard	তেজপিয়া
crimson sunbird	মৌপিয়া
alloy	মিহলা
alloy	মিহলোৱা
compound	মিহলি
dark	এন্ধাৰ
sparkling	জিলিকা
sparkling	উজলা
shirt	চোলা
potato	আলুগুটি
potato	বিলাতী আলু
sweet potato	মিঠা আলু
tomato	বিলাহী বেঙেনা
rear	পোহা
escaped	পলা
fan	বিচ
hand fan	বিচনী
repair	মেৰামতি
weight	ওজন
button	বুটাম
dry	শুকুৱা
dry	শুকুউৱা
charcoal	এঙাৰ
charcoal	আঙাৰ
heart	আমঠু
mango seed	আমঠি
heart	ডিল
banana heart	কলডিল
length	দীঘা
width	পথালি
paddy field	ধাননি
I know	মই জানোঁ
I don't know	মই নেজানোঁ
I know	জানোঁ
I don't know	জানোঁ!
I don't know	নেজানোঁ
I don't know	মই নাজানোঁ
I don't know	নাজানোঁ
I want to know	মই জানিব বিচাৰোঁ
I want to know	জানিব বিচাৰোঁ
shut	জপা
shut	জাপা
rotten	পচা
rotten	পচোৱা
rotten	গেলোৱা
banana shoot	পচলা
আজি	কল পচলা
dative	-অলে
sweeped	জাৰা
sweeped	ঝাৰা
lid	ঢাকন
bottle cap	সাঁফৰ
stopple	সোপা
stopple	ঠিলা
sheet	চাদৰ
bedsheet	বিছনা-চাদৰ
rape	ধৰ্ষণ
rape	বলাৎকাৰ
bravo	বাঃ
bravo	বাঃ বাঃ
shabash	চাবাচ
wow	আও
bark	ভুকা
woof	ভৌ ভৌ
rubbed	ঘঁহা
sock	মোজা
closed	মুজা
trim	মুজুৰা
rubbed	মাজা
lived	থকা
searched	বিচাৰা
searched	বিচৰা
search	বিচাৰ
judge	বিচাৰ কৰা
judge	হাকিম
bring	অনোৱা
brought	আনোৱা
ছুৰী	-পাত
গছ	-ডাল
two	দু-
six	ছ-
only	অকল
only	মাথোঁ
alone	অকলে
alone	অকলশৰীয়া
market	হাট
asked	সোধা
আপুনি	আপোনাক
Botswana	বৎচোৱানা
help	সহায় কৰা
commit suicide	আত্মহত্যা কৰা
cellphone	মোবাইল
identify	চিনা
identify	চিনি পোৱা
sign	চিন
signature	চহী
signed	চহী কৰা
known	চিনাকি
pursue	খেদা
bracelet	খাৰু
mature	পূৰঠ
bride	কইনা
groom	দৰা
hill	পাহাৰ
hilly	পাহাৰীয়া
mountain	পৰ্বত
valley	ভৈয়াম
borne	সহা
collapsed	খহা
like this	এনেকৈ
like this	এনেকে
boy	বোপা
father	বোপাই
shake	লাৰা
shaken	লৰোৱা
thigh	জাং
measure	জোখা
measure	জোখ
sour	টেঙা
date	তাৰিখ
samosa	চিঙৰা
water caltrop	শিঙৰি
next	আহা
how many	কেই-
lost	হাৰা
lost	হেৰোৱা
lost	হেৰুউৱা
tiredness	ভাগৰ
lifted	দাঙা
bag	মোনা
bag	টোপোলা
bag and baggage	টালিটোপোলা
bag and baggage	টোপোলাটাপলি
bag	জোলোঙা
get down	নামা
tear	ছিঙা
torn	ছিগা
crack	ফাট
firecracker	ফটকা
direction	ফাল
bad	বেয়া
wrapped	মেৰিওৱা
maund	মোন
zoo	চিৰিয়াখানা
walk	খোজ কাঢ়া
partridge	তিতৰ
partridge	তিতৌ
guineafowl	তিতৌ কুকুৰা
guineafowl	চীনা কুকুৰা
step	খোজ
forgotten	পাহৰা
shame	লাজ
shy	লাজুকা
shy	লাজুকী
Mimosa pudica	লাজুকী বন
Mimosa pudica	লাজুকী লতা
vine	লতা
slow loris	লাজুকী বান্দৰ
leopard cat	লতামাকৰি
leopard cat	লতামেকুৰী
leopard cat	লতাফুটুকি
leopard	নাহৰফুটুকী বাঘ
salamander	মাগুৰ ভেকুলী
greater adjutant	হাড়গিলা
greater adjutant	হাদং
treepie	কোকলোঙা চৰাই
walking catfish	মাগুৰ
arrogant	গঙাটোপ
Sterna aurantia	গঙাচিলনী
river	গঙা
Channa striata	শ’ল
Channa striata	শল
pangolin	কেমটাই
house	শালি
school	পঢ়াশালি
magic	যাদু
magic	ভেলেকী
magic show	ভেলেকী বাজি
magic show	যাদু খেল
museum	যাদুঘৰ
মাইকী	পাতিহাঁহ
মাইকী	আমৰ’লীয়া হাঁহ
twenty-two	বাইছ
twenty-three	তেইছ
twenty-four	চৌবিছ
twenty-five	পঁচিছ
twenty-six	ছাবিছ
twenty-seven	সাতাইছ
twenty-eight	আঠাইছ
twenty-nine	ঊন্ত্ৰিছ
thirty	ত্ৰিছ
thirty-one	একত্ৰিছ
thirty-two	বত্ৰিছ
thirty-three	তেত্ৰিছ
thirty-four	চৌত্ৰিছ
thirty-five	পঁয়ত্ৰিছ
thirty-six	ছয়ত্ৰিছ
thirty-seven	সাতত্ৰিছ
thirty-eight	আঠত্ৰিছ
thirty-nine	ঊনচল্লিছ
forty	চল্লিছ
forty-one	একচল্লিছ
forty-two	বিয়াল্লিছ
forty-three	তিয়াল্লিছ
forty-four	চৌৰাল্লিছ
forty-five	পঞ্চল্লিছ
forty-six	ছয়চল্লিছ
forty-seven	সাতচল্লিছ
forty-eight	আঠচল্লিছ
forty-nine	ঊনপঞ্চাছ
fifty	পঞ্চাছ
fifty-one	একাৱন
fifty-two	বাৱন
fifty-three	তেৱন
fifty-four	চৌৱন
fifty-five	পঁচপন
fifty-six	ছাপন
fifty-seven	সাতাৱন
fifty-eight	আঠাৱন
fifty-nine	ঊনষাঠি
sixty	ষাঠি
sixty-one	এষষ্ঠি
sixty-two	বাষষ্ঠি
sixty-three	তেষষ্ঠি
sixty-four	চৌষষ্ঠি
sixty-five	পঁষষ্ঠি
sixty-six	ছয়ষষ্ঠি
sixty-seven	সাতষষ্ঠি
sixty-eight	আঠষষ্ঠি
sixty-nine	ঊনসত্তৰ
seventy	সত্তৰ
seventy-one	এসত্তৰ
seventy-two	বাসত্তৰ
seventy-three	তেসত্তৰ
seventy-four	চৌসত্তৰ
seventy-five	পঁসত্তৰ
seventy-six	ছয়সত্তৰ
seventy-seven	সাতসত্তৰ
seventy-eight	আঠসত্তৰ
seventy-nine	ঊনআশী
eighty	আশী
eighty-one	একাশী
eighty-two	বিয়াশী
eighty-three	তিৰাশী
eighty-four	চৌৰাশী
eighty-five	পঁচাশী
eighty-six	ছয়াশী
eighty-seven	সাতাশী
eighty-eight	আঠাশী
eighty-nine	ঊননব্বৈ
ninety	নব্বৈ
ninety-one	একান্নব্বৈ
ninety-two	বিয়ান্নব্বৈ
ninety-three	তিৰান্নব্বৈ
ninety-four	চৌৰান্নব্বৈ
ninety-five	পঁচানব্বৈ
ninety-six	ছয়ান্নব্বৈ
ninety-seven	সাতান্নব্বৈ
ninety-eight	আঠান্নব্বৈ
ninety-nine	নিয়ান্নব্বৈ
thousand	হেজাৰ
one hundred	এশ
one thousand	এহেজাৰ
one thousand	এহাজাৰ
ten	দহ হেজাৰ
ten	দহ হাজাৰ
ten thousand	অযুত
ten	এক অযুত
one	এক লাখ
ten	দহ লাখ
ten crore	দহ কোটি
one crore	এক কোটি
ten lac	নিযুত
ten lac	এক নিযুত
chopped	কুটা
gaur	মেঠোন
monitor lizard	গুঁই সাপ
monitor lizard	গুঁই
reticulated python	অজগৰ সাপ
Indian rhinoceros	এশিঙীয়া গঁড়
sperm whale	কেছাল’ তিমি
blue whale	নীলা তিমি
white whale	বগা তিমি
orca	অৰকা
giant panda	বৰ পাণ্ডা
giant panda	ডাঙৰ পাণ্ডা
giant panda	পাণ্ডা ভালুক
red panda	পাণ্ডা
Przewalski's horse	তাসী ঘোঁৰা
skeleton	জঁকা
stump	মুঢ়া
urinated	মূতা
weaver ant	ৰঙা পৰুৱা
garden	বাগিচা
garden	বাগান
sand	বালু
ant	পিপৰা
ant	পিপৰ
flower garden	ফুলনি
flower garden	ফুলবাৰী
expenditure	খৰচ
waster	খৰচী
melted	গলোৱা
chewed	চোবোৱা
toothache	দাঁতৰ বিষ
headache	মূৰৰ বিষ
stomachache	পেটৰ বিষ
burning sensation	জালা
burning sensation	জ্বালা
burned	জলোৱা
burned	জ্বলোৱা
marsh	জলাহ
marshy	জলহুৱা
fight	যুঁজা
daughter-in-law	বোৱাৰী
garland	চাকি
beehive	ৰহঘৰা
beehive	ঘৰা
male silk moth	চকৰা
female silk moth	চকৰী
female silk moth	চকৰি
monocled cobra	চকৰিফেঁটী
hood	ফেঁট
bansuri	বাঁহী
remaining	বাকী
bamboo shoot	বাঁহগাজ
bamboo flower	বাঁহফুল
appearance	চেহেৰা
refugee	শৰণাৰ্থী
filtered	ছেকা
filter	ছেকনী
sifted	চালা
sieve	চালনি
winnowing basket	ডলা
net	জাল
dodder	তেলাকুচা
oily	তেলীয়া
oily	তেলাল
stork	সাৰেং
real	আচল
law	আইন
licked	চেলেকা
sword	তৰোৱাল
sword	হেংদাং
love	মৰম
fresh	তাজা
love	মৰম কৰা
lovely	মৰমলগা
kind	মৰমিয়াল
dear	মৰমৰ
the	-বোৰ
the	-বিলাক
resident	বাসিন্দা
fresh	সতেজ
fresh	সাজো
alive	জীয়া
bloody	কঁহকঁহীয়া
rust	কঁহ
mummy	আম্মী
mummy	আম্মা
mother	মাও
mother	আই
accusative case	-অক
thread	সূতা
carpenter	সূতাৰ
classifier	-গৰাকী
owner	গৰাকী
owner	মালিক
owner	মালিকনী
ownership	মালিকানা
ownership	আধিপত্য
instrumental	-এৰে
instrumental	-এদি
string	সূত
current	সোঁত
branch	সোঁতা
branch	সুঁতি
carpenter	বাঢ়ৈ
carpenter	কাঠ মিস্ত্ৰী
mason	মিস্ত্ৰী
fighter	যুঁজাৰু
warship	যুঁজাৰু জাহাজ
fighter aircraft	যুঁজাৰু বিমান
brief note	চমুটোকা
briefly	চমুকৈ
briefly	চমুকে
short	চুটিকৈ
short	চুটিকে
district head quarter	সদৰ
compress	চমুউৱা
short	চুটি
humpback whale	কুঁজা তিমি
humped	কুঁজা
hump	কুঁজ
hump	চুট
short story	চুটিগল্প
flamingo	ফ্লেমিংগ
short	চাপৰ
tall	ওখ
mean	মানে
unnecessary	বাজে
plantain	কাঁচকল
addiction	নিচা
mark	নিচান
copy	নকল
only	মাথোন
copied	নকল কৰা
extinguished	নুমুৱা
extinguished	নুমুউৱা
bullet	গুলী
shot	গুলীওৱা
crossfire	গুলীয়াগুলী
fried	ভাজা
regret	আফচোচ
fumble	খেপিওৱা
itched	খজুউৱা
itch	খজুলি
itch	খজুৱতি
itch	খজুটি
throw	দলিওৱা
powder	গুড়ি
powder	গুড়া
reckless	বেপৰোৱা
round	ঘূৰণীয়া
lime	চূণ
round	গোল
court	আদালত
honor	ইজ্জত
kick	গোৰ
kick	লাথ
kick	লাথি
kicked	লথিওৱা
kicked	গুৰিওৱা
changed	সলোৱা
sound	আৱাজ
gab	বকা
place	জেগা
occupation	দখল
namaz	নামাজ
namaz	নমাজ
removal	-অৰ পৰা
instead of	-অৰ সলনি
this	এইটো
as	বুলি
inserted	সুমাই দিয়া
walk	বুলা
cook	বাবুৰ্চি
cook	ৰান্ধনি
cook	চাংমাই
cook	খানচামা
kitchen	পাকঘৰ
let's go	ব’ল
let's go	ব’লক
lengthened	দীঘলোৱা
lengthened	দীঘল কৰা
lengthened	দীঘল হোৱা
shortened	চুটি হোৱা
shortened	চুটি কৰা
cloud	মেহ
cloud	ডাৱৰ
hanged	ওলমা
hanged	ওলোমা
branch	ডাল
branch	ঠাল
twig	ঠালি
twig	ঠানি
split pulse	দাইল
stem	ঠাৰি
hidden	আবৰা
rubbed	সনা
rubbed	সানা
henna	জেতুকা
shoebill	জোতাঠোঁটীয়া
hang	জুলা
hung	ওলমোৱা
hung	ওলোমোৱা
change	সলনি
dream	সপোন
egg	ডিম
gray	ধোঁৱাবৰণীয়া
become	হৈ যোৱা
sometime	কেতিয়াবা
lawyer	উকিল
pleadership	ওকালতি
benefit	লাভ
bile	পিত
peacock dance	ম’ৰা চালি
pheasant-tailed jacana	দলম’ৰা
turned over	লুটিওৱা
box	বাকচ
box	জঁপা
basket	পেটাৰি
belt	পেটী
belt	বেৰেটি
belt	বেল্ট
entrails	পেটু
seed	গুটি
whole	গোটেই
of all	আটাইতকৈ
of all	আটাইতকে
of all	সবাতোকৈ
of all	সবাতোকে
of all	চবতকে
heavy	ভাৰী
powerful	শক্তিশালী
powerful	হাত-দীঘল
of all	সকলোতকৈ
of all	সকলোতকে
heavy	গধুৰ
light	পাতল
paragraph	দফা
the	-সমূহ
golden	সোণৰ
golden	সুণীয়া
golden	সোণালী
trodden	গচকা
trodden	খচকা
cheated	চকুত ধূলি মাৰা
cheated	চকুত ধূলি মৰা
cheated	ঠগোৱা
dotara	দোতাৰা
dotara	দোতোৰা
favourite	আটাইতকৈ ভাল লগা
favourite	আটাইতকে ভাল লাগা
application	দৰ্খাস্ত
application	এপ্লিকেচন
application	এপ
or	নে
road	বাট
fed	খোওৱা
feed	খুউৱা
smoked	হোপা
floated	ওপঙা
floated	ভহা
floated	ভাহা
invitation	দাৱত
piece	টুকুৰা
turnip	চালগোম
first	পহিলা
razor	খুৰ
shaved	খুৰোৱা
shave	খুৰুৱা
young	ডেকা
young	ডেকেৰী
young	গাভৰু
mad	বলিয়া
mad	বাউল
mad	বাউলা
mad	পগলা
mad	পাগল
mad	পাগলী
anger	পাগলামি
coriander	ধনিয়া
compared	ৰিজোৱা
oar	ব’ঠা
custard	কাষ্টাৰ
cough	কাহা
yawn	হামি
yawn	হামিওৱা
soap	চাবোন
sneeze	হাঁচি
sneeze	হাঁচিওৱা
reserved	সাঁচা
hate	ঘিণ
belch	উগাৰ
reddened	ৰঙোৱা
reddened	ৰঙা হোৱা
belch	উগাৰ মাৰা
belch	উগাৰ মৰা
uprooted	উঘলা
uprooted	উঘালা
tighten	কচা
bael	বেল
academy	একাডেমি
ক’লা	হলৌ
huge	মস্ত
tent	তম্বু
tent	ডেৰা
tent	ৰভা
tent	তামীঘৰা
tent	চায়না
give up	তেজা
petal	পাহি
betel leaf	পাণ
wall	বেৰ
juice	পিক
spat	পিক পেলোৱা
spat	পিকোৱা
hillock	টিলা
hillock	ঢাপলিকা
levee	ঢাপ
roof	ঢাপৰ
gable	ঢাপলি
at first	প্ৰথমতে
at first	প্ৰথমে
devotee	ভকত
come out	নিকলা
squeezed	চেপা
press	হেঁচা
prick	খোঁচা
grubbed	খোঁচৰা
prick	বিন্ধা
speared	হনা
speared	হানা
ladder	জখলা
travel	ফুৰা
harrow	মৈ
son-in-law	জোঁৱাই
left	বাওঁ
shallow	বাম
left side	বাওঁফাল
left side	বাওঁফালে
left side	বাওঁফাললৈ
right	সোঁ
right side	সোঁফাল
right side	সোঁফালে
wheat	ঘেঁহু
have	গম পোৱা
maize	গোমধান
father	বাপ
pure	শুধ
reformed	শুধৰোৱা
reformed	শুধৰা
helpless	বেচেৰা
children	ল’ৰা-ছোৱালী
dirty	লেতেৰা
birdcage	পিঁজৰা
side	পাঁজৰ
side	পাঁজৰা
nearby	ওচৰে-পাঁজৰে
near	ওচৰ
platypus	হাঁহঠুঁটীয়া
squeezed	পিটিকা
root	শিপা
fat	শকত
quilt	কেঁথা
sewed	সীয়া
platypus	প্লেটিপাছ
sewed	সীওৱা
milked	খীৰোৱা
overpowered	জিনা
otherwise	নহ’লে
not	নহয়
distant	আঁতৰ
essence	আতৰ
subject	বিষয়
about	-অৰ কথা
about	-অৰ বিষয়ে
tailor	দৰ্জী
cane	বেত
user	ইউজাৰ
minister	মন্ত্ৰী
Gurmukhi	গুৰুমুখীয়া
Bengali	বঙালী
Bengali	বঙাল
Britisher	বগা বঙাল
half	আধা
explanation	ব্যাখ্যা
blow	চোট
ruby	ডালিমা
ruby	মাণিক
diamond	হীৰা
begged	মাগা
begged	মগা
slow	লেহেম
slow	লেহেমীয়া
-খন	আঁচল
widened	বহলোৱা
green coconut	ডাব
girl	আপী
indicated	সূচোৱা
igloo	ইগ্লো
screen	আঁৰ
he	এওঁ
some	কেও
climbing perch	কাৱৈ
splash	ছিটা
splash	ছিটিকনি
sprinkled	ছিটিকা
bounded off	ছিটিকোৱা
red cotton tree	শিমলু
fibre	আঁহ
scholar	ওজা
elder sister	বাই
elder sister	বাইদেউ
lumberjack	খৰিকটীয়া
younger sister	ভণ্টী
process	প্ৰক্ৰিয়া
somewhere	ক’ৰবাত
somewhere	ক’ৰবালৈ
industry	উদ্যোগ
turned back	ওলোটা
slowly	লাহে লাহে
jambul	জামুক
jambul	জামু
jambul	জাম
slowly	লাহে ধীৰে
mug	মগ
palm	হাতৰ তলুৱা
broker	দালাল
brokerage	দালালি
pounded	খুন্দা
pounded	খুন্দোৱা
mortar	খুন্দনা
thump	খুন্দিওৱা
mutual bumping	খুন্দিয়াখুন্দি
immature jackfruit	মুচি
cobbler	মুচী
other	অইন
other	অন্য
plant	কপৌফুল
cooking vessel	চৰু
hoe	কোৰ
hoe	কোদাল
strike	কোবোৱা
blow	কোব
strike	পিটা
make over	গতোৱা
glove	হাতমোজা
scooper	ৰোকা
starfish	তৰামাছ
convenience	সুবিধা
snatch away	কঢ়া
utter one's name	নাম কঢ়া
utter one's name	নাম কাঢ়া
fork	কাঁটাচামুচ
fork	কাঁইটীয়া চামুচ
thorny	কাঁইটীয়া
microbe	জীৱাণু
bacteria	বেক্টেৰিয়া
microbe	অণুজীৱ
bad luck	ফুটা
shoulder	কান্ধ
moon	চান্দ
bamboo bridge	সাঁকো
crack	ফাঁক
lighted	পোহৰোৱা
gem	মণি
rest	জিৰোৱা
trap	ফান্দ
dam	বান্ধ
dam	মথাউৰি
dam	ভেটা
rest	জিৰণি
warm	পুঁওৱা
masala	মচলা
turned back	ওলটা
turned back	ওলটোৱা
turned back	ওলোটোৱা
lychee	লিচু
lychee	লেচু
turban	পাগুৰি
thicken	পগোৱা
ruminate	পাগুলা
slap	চৰিওৱা
slap	থাপৰ
snatched	থপিওৱা
slight thud	থপৰ
slap	থপৰিওৱা
establish	থাপা
government	চৰকাৰ
illegal	চোৰাং
spy	চোৰাংচোৱা
poacher	চোৰাং চিকাৰী
black market	চোৰাং বজাৰ
black market	ক’লা বজাৰ
hunter	চিকাৰী
equal	সমান
peer	সমনীয়া
flat	চেপেটা
come short	ঘাটা
diminish	দমা
subdue	দমোৱা
lesser whistling duck	শৰালি
Dendrocygna javanica	শৰালি হাঁহ
some	কিছুমান
hide	লুকুউৱা
this	সেইটো
spend	কটোৱা
for	-অৰ বাবে
paste	লুথুৰী
glutinous rice	বৰা চাউল
scheme	আঁচনি
work hard	খটা
work hard	খাটা
paper	কাকত
Kakoty	কাকতি
pinch	চিকুট
pinch	চিকুটা
electricity	বিজুলী
cow	গাই
safe	চন্দুক
love	ভালপোৱা
I love you	মই তোমাক ভাল পাওঁ
I love you	মই তোমাক ভালপাওঁ
I hate you	মই তোমাক বেয়া পাওঁ
chin	থুঁতৰি
stammering	থোঁতা
mother-in-law	শাহু
father-in-law	শহুৰ
ink	চিয়াঁহী
fountain pen	চিয়াঁহী কলম
ink	মহী
pregnant	গাভিনী
afternoon	বিয়লি
inkpot	মহী চুঙা
inkpot	দোৱাত
inkpot	মৈলাম
cylinder	চুঙা
torch	চুঙা চাকি
beak	খুঁটিয়া
previously	আগতে
in front	আগত
previously	আগেয়ে
player	খেলুৱৈ
selfie	চেল্ফি
seed	বিৰিং গুটি
marble	মৰ্মৰ
marble	মাৰ্বল
rust	মামৰ
can	টেমা
jute	মৰাপাট
jute stalk	পটাখৰি
jute stalk	মৰাঠাৰি
jute	তিতামৰা
silkworm	পাট পলু
inside	ভিতৰ
inside	ভিতৰত
outside	বাহিৰত
except	বাহিৰে
except	-অৰ বাহিৰে
grandmother	আইতা
lablab	উৰহী
bedbug	উৰহ
outer	বাহিৰা
rough exercise notebook	বাহিৰা বহী
personal	ভিতৰুৱা
confidant	ভিতৰুৱাল
own	নিজৰ
own	নিজ
own	নিজা
own	আপোন
preference	পচন্দ
preference	পচন
নিজ	নিজে
automatically	নিজে নিজে
automatically	আপোনা আপুনি
পছন্দ কৰা	পছন্দ কৰা
পচন্দ কৰা	পচন্দ কৰা
পচন কৰা	পচন কৰা
ভাল লগা	ভাল লগা
ভাল লাগা	ভাল লাগা
ice cream	আইচ‌্ক্ৰিম
digest	হজম কৰা
digest	হজম হোৱা
digestion	হজম
elder brother	ককাই
her	তাইৰ
her	তাইক
grandfather	ককা
shake	জোকাৰা
ash	ছাই
pocket	জেপ
satiate	আমুউৱা
centre	মাজ
medium	মাজু
curly bracket	মাজু বন্ধনী
round bracket	সৰু বন্ধনী
bracket	বন্ধনী
chicken pox	মাজু আই
measles	সৰু আই
smallpox	বৰ আই
occasionally	মাজে মাজে
occasionally	কেতিয়াবা কেতিয়াবা
a lot	তামাম
between	-অৰ মাজ-
backbone	ৰাজহাড়
vein	সিৰ
through the middle	মাজেৰে
through the middle	মাজেদি
do	কৰোৱা
maize	মাকৈ
reality	দিঠক
how are you	আপোনাৰ ভালনে
how are you	তোমাৰ ভালনে
how are you	তোৰ ভালনে
weaver	তাঁতী
seamstress	শিপিনী
weaver	বোৱনী
weaver	তাঁতিনী
bellmetal worker	কঁহাৰ
bell metal	কাঁহ
send	পঠিওৱা
built	গঢ়া
goldsmith	সোনাৰি
hut	জুপুৰি
fold	জাপ
gate	জপনা
gateway	পদূলি
supplied	যোগোৱা
supplied	যোগান ধৰা
supply	যোগান
emphatic	-এই
incomplete	আধৰুৱা
