May	may
Cyrillic	ҝ
Cyrillic	Ҹ
Cyrillic	ҹ
be	олмаг
pass	кечмәк
give	vermək
give	вермәк
road	јол
say	demək
understand	anlamaq
feel	üşümək
smile	gülümsəmək
I	мән
you	сән
read	охумаг
bring	ҝәтирмәк
laugh	ҝүлмәк
see	ҝөрмәк
feel	үшүмәк
understand	анламаг
say	демәк
run	гачмаг
cry	ағламаг
love	sevmək
want	istəmək
come	gəlmək
hear	eşitmək
grab	qapmaq
milk	sağmaq
feed	bəsləmək
start	başlamaq
close	bağlamaq
urinate	işəmək
defecate	qığlamaq
swell	şişmək
bury	gömmək
know	bilmək
boil	qaynamaq
cough	öskürmək
fart	osurmaq
say	söyləmək
die	ölmək
homeland	vətən
listener	eşidən
next	gələn
last	keçən
magician	sehrbaz
see	گؤرمک
go out	çıxmaq
exit	чыхмаг
milk	сағмаг
close	бағламаг
start	башламаг
 look	бахмаг
cough	өскүрмәк
fall	yıxılmaq
go	getmək
sneeze	asqırmaq
interpret	yozmaq
freeze	donmaq
cause	dondurmaq
Azeri	azəri
go down	enmək
banker	bankir
regiment	alay
tadpole	چؤمچقویروق
be	qorxmaq
frighten	qorxutmaq
frighten	горхутмаг
dry	qurutmaq
enlarge	böyütmək
shaken	sarsımaq
shake	sarsıtmaq
shake	сарсытмаг
shine	parlamaq
jump	атланмаг
need	ehtiyac
weave	toxumaq
weave	тохумаг
love	севмәк
dive	далмаг
immerse	daldırmaq
immerse	далдырмаг
knock down	yıxmaq
fall	düşmək
sell	satmaq
eleven	он бир
thirteen	он үч
fifteen	он беш
twenty-one	iyirmi bir
twenty-two	iyirmi iki
twenty-three	iyirmi üç
twenty-four	iyirmi dörd
twenty-five	iyirmi beş
twenty-six	iyirmi altı
twenty-seven	iyirmi yeddi
twenty-eight	iyirmi səkkiz
twenty-nine	iyirmi doqquz
because	zira
thirty-four	otuz dörd
thirty-seven	otuz yeddi
thirty-eight	otuz səkkiz
thirty-nine	otuz doqquz
activate	aktivləşdirmək
harmful	zərərli
damage	zərər
harmless	zərərsiz
forty-one	qırx bir
forty-two	qırx iki
forty-three	qırx üç
forty-four	qırx dörd
forty-five	qırx beş
deactivate	deaktivləşdirmək
time	vaxt
penis	duduş
harmful	ziyankar
пенис	пенис башы
strength	güc
eat	yemək
strong	güclü
bird	гуш
uncountable	vəfa
pleasure	ləzzət
poor	fağır
brother	гардаш
taste	дад
tasty	дадлы
sit	اوتورماق
sit	отурмаг
know	билмәк
my	мәним
peri	pəri
ـده	-də
United Arab Emirates	Birləşmiş Ərəb Əmirlikləri
Birləşmiş Ərəb Əmirlikləri	BƏƏ
provisions	təminat
aparat	aparat təminatı
equipment	avadanlıq
interface	interfeys
external	xarici
pliers	кәлбәтин
period	nöqtə
dot	нөгтә
belonging	məxsus
truth	haqq
live	yaşamaq
موبتلا	mübtəla
master	rəbb
afflicted	مبتلا
موبتلا	мүбтәла
Master	Rəbb
countable	eşq
solicitude	inayət
solicitude	عنایت
affliction	bəla
in other words	yəni
divided	cüda
do	qılmaq
character	qılıq
difficult	düşvar
acquainted	aşna
logic	məntiq
firewall	qoruyucu divar
protect	qorumaq
protective	qoruyucu
protect	горумаг
second	горујуҹу
protected	qoruq
second	горуг
keeper	qoruqçu
find	bulmaq
find	булмаг
affliction	bəlayi-eşq
بلاهای عشق	بلای عشق
people	əhli-dərd
اهالی درد	اهل درد
proqram	proqram təminatı
schedule	cədvəl
population	اهالی
people	əhl
population	əhali
bathe	çimmək
born	doğulmaq
gətirmək	dünyaya gətirmək
come into being	törəmək
generate	törətmək
herd	naxır
موبتلا	موبتلا
shop	mağaza
seller	satıcı
treatment	müalicə
contemporary	müasir
helping	müavin
inspection	müayinə
exchange	mübadilə
exaggeration	mübaliğə
blessed	mübarək
struggle	mübarizə
argument	mücadilə
fighter	mücahid
defense	müdafiə
intervention	müdaxilə
thesis	müddəa
terrible	müdhiş
director	müdir
wise	müdrik
uncountable	müdriklik
author	müəllif
teacher	müəllim
institution	müəssisə
defined	müəyyən
uncountable	müəyyənlik
inspector	müfəttiş
singer	müğənni
migrant	mühacir
caretaker	mühafiz
preservation	mühafizə
trial	mühakimə
accountant	mühasib
beleaguerment	mühasirə
lecture	mühazirə
lecturer	mühazirəçi
engineer	mühəndis
journalist	mühərrir
reward	mükafat
perfect	mükəmməl
noticing	mülahizə
possibility	mümkünlük
orderly	müntəzəm
blue	şəhla
quiet	dinc
violet	bənövşə
seventieth	yetmişinci
sixtieth	altmışıncı
sixteenth	on altıncı
seventeenth	on yeddinci
eighteenth	on səkkizinci
nineteenth	on doqquzuncu
twentieth	iyirminci
twenty-first	iyirmi birinci
twenty-second	iyirmi ikinci
twenty-third	iyirmi üçüncü
twenty-fourth	iyirmi dördüncü
twenty-fifth	iyirmi beşinci
twenty-sixth	iyirmi altıncı
twenty-seventh	iyirmi yeddinci
twenty-eighth	iyirmi səkkizinci
twenty-ninth	iyirmi doqquzuncu
thirtieth	otuzuncu
thirty-first	otuz birinci
thirty-second	otuz ikinci
thirty-third	otuz üçüncü
forty-third	qırx üçüncü
fifty-third	əlli üçüncü
sixty-third	altmış üçüncü
seventy-third	yetmiş üçüncü
eighty-third	səksən üçüncü
ninety-third	doxsan üçüncü
ninety-first	doxsan birinci
ninetieth	doxsanıncı
eightieth	səksəninci
fiftieth	əllinci
fortieth	qırxıncı
forty-first	qırx birinci
fifty-first	əlli birinci
sixty-first	altmış birinci
seventy-first	yetmiş birinci
eighty-first	səksən birinci
ninety-second	doxsan ikinci
eighty-ninth	səksən doqquzuncu
eighty-eighth	səksən səkkizinci
forty-ninth	qırx doqquzuncu
forty-eighth	qırx səkkizinci
forty-seventh	qırx yeddinci
forty-sixth	qırx altıncı
forty-fifth	qırx beşinci
forty-fourth	qırx dördüncü
forty-second	qırx ikinci
thirty-ninth	otuz doqquzuncu
thirty-eighth	otuz səkkizinci
thirty-seventh	otuz yeddinci
thirty-sixth	otuz altıncı
thirty-fifth	otuz beşinci
thirty-fourth	otuz dördüncü
fifty-second	əlli ikinci
fifty-fourth	əlli dördüncü
fifty-fifth	əlli beşinci
fifty-sixth	əlli altıncı
fifty-seventh	əlli yeddinci
fifty-eighth	əlli səkkizinci
fifty-ninth	əlli doqquzuncu
sixty-second	altmış ikinci
sixty-fourth	altmış dördüncü
sixty-fifth	altmış beşinci
sixty-sixth	altmış altıncı
sixty-seventh	altmış yeddinci
sixty-eighth	altmış səkkizinci
sixty-ninth	altmış doqquzuncu
seventy-second	yetmiş ikinci
seventy-fourth	yetmiş dördüncü
seventy-fifth	yetmiş beşinci
seventy-sixth	yetmiş altıncı
seventy-seventh	yetmiş yeddinci
seventy-eighth	yetmiş səkkizinci
seventy-ninth	yetmiş doqquzuncu
eighty-second	səksən ikinci
eighty-fourth	səksən dördüncü
eighty-fifth	səksən beşinci
eighty-sixth	səksən altıncı
eighty-seventh	səksən yeddinci
ninety-fourth	doxsan dördüncü
ninety-fifth	doxsan beşinci
ninety-sixth	doxsan altıncı
ninety-seventh	doxsan yeddinci
ninety-eighth	doxsan səkkizinci
ninety-ninth	doxsan doqquzuncu
hundredth	јүзүнҹү
hundred	јүз
first	биринҹи
second	икинҹи
four	дөрд
seven	једди
eight	сәккиз
nine	доггуз
two	ики
twelve	он ики
fourteen	он дөрд
mathematics	riyaziyyat
mathematics	ријазијјат
wounded	yaralı
search	axtarış
axtarış	axtarış mexanizmi
damage	ziyan
harmful	ziyanlı
danger	təhlükə
harmless	ziyansız
xaç	xaç anası
xaç	xaç atası
xaç	xaç oğulluğu
xaç	xaç qızlığı
stepson	oğulluq
virginity	qızlıq
son	оғул
wife	arvad
wife	zövcə
narcissus	nərgis
woman	гадын
girl	гыз
boy	оғлан
woman	зөвҹә
woman	арвад
borrowing	istiarə
grammar	qrammatika
gymnasium	gimnaziya
gymnasium	gimnazist
uncountable	pirotexnika
uncountable	geologiya
conjugation	təsrif
adjective	sifət
envelope	zərf
gentle	zərif
conjugation	تصریف
бир	бир суалым вар
question	суал
speed	sürət
quick	sürətli
slow	sürətsiz
uncountable	fəhm
quick-witted	fəhmli
slow-witted	fəhmsiz
speed	сүрәт
speedy	сүрәтли
speedless	сүрәтсиз
understanding	фәһм
slow-witted	фәһмсиз
quick-witted	фәһмли
flowerpot	güldan
gorilla	qorilla
Gothic	qotik
French	fransızca
Azerbaijani	azərbaycanca
Arabic	ərəbcə
Arab	ərəb
Arabia	Ərəbistan
Russian	русҹа
German	almanca
Portuguese	portuqalca
Portugal	Portuqal
Persian	farsca
Azerbaijani	azərbaycanlı
single	vahid
firstly	əvvəlcə
past	əvvəl
firstly	əvvəla
information	məlumat
meeting	məclis
minister	vəzir
point of view	nöqteyi-nəzər
demand	tələb
happening	vaqe
happen	vaqe olmaq
right	hüquq
demand	tələbat
wait	intizar
thing	əşya
place	məqam
place	məkan
blow	zərbə
stroke	ضربه
awareness	şüur
good	yaxşı
palm tree	nəxlə
agreement	ittifaq
hamburger	hamburqer
hamburger	qamburqer
speak	danışmaq
constitution	konstitusiya
consultation	konsultasiya
composition	kompozisiya
cosmonaut	kosmonavt
people	əhli-iman
people	əhli-həsəd
art	hünər
people	əhli-hünər
people	əhli-dünya
people	əhli-məclis
people	əhli-beyt
people	əhli-lisan
sprout	fidan
people	əhli-vəfa
people	əhli-kərəm
people	əhli-kitab
people	əhli-xidmət
service	xidmət
people	əhli-naz
people	əhli-eşq
people	əhli-qübur
people	əhli-dil
people	əhli-qəm
people	əhli-səlib
cross	səlib
people	əhli-cahan
people	əhli-divan
people	əhli-qələm
competence	əhliyyət
people	əhli-mərifət
knowledge	mərifət
people	əhli-fəsad
pleasure	zövq
people	əhli-zövq
people	əhli-zülm
squabble	fəsad
oppression	zülm
pen	qələm
trouble	dərd
people	əhli-qərəz
people	əhli-zələmə
people	əhli-qiblə
people	əhli-sənət
occupation	sənət
people	əhli-ürfan
examination	əhli-xibrə
people	əhli-əyal
people	əhli-ruh
people	əhli-kef
people	əhli-elm
people	əhli-insaf
people	əhli-hal
people	əhli-kamal
people	əhli-kəmal
people	əhli-məzac
knowledge	ürfan
intention	qərəz
tomb	qəbir
envy	həsəd
just	insaf
grief	qəm
world	cahan
disposition	məzac
bravo	bəh-bəh
generosity	kərəm
appeal	müraciət
regret	təəssüf
turbidity	kədər
ability	qabiliyyət
talent	istedad
natural	fitri
blazing	zəka
side	tərəf
surrounding	ətraf
question	məsələ
solution	həll
sacred	müqəddəs
force	qüvvə
strength	qüvvət
strong	qüvvətli
resistance	müqavimət
attack	hücum
influence	təsir
misdemeanour	təqsir
guilty	müqəssir
my God	ilahi
cosmic	kosmik
amazedness	təəccüb
number	nömrə
number	ədəd
firmness	səbat
clean	təmiz
uncountable	təmizlik
cassation	təmyiz
cassation	kassasiya
doorkeeper	qapıçı
hero	bahadır
put to work	işə salmaq
put	sıradan çıxartmaq
detrimental	ziyanverici
e-mail	e-poçt
chain	silsilə
valiant	igid
dangerless	xətərsiz
courageous	cəsarətli
cup	kubok
highway	şose
shrewd	fərasətli
if	əgər
state	dövlət
translator	tərcüməçi
not	deyil
goodbye	xudahafiz
yes	bəli
yes	hə
please	lütfən
no	xeyr
put	qoymaq
drunk	kefli
ər	ər-arvad
qohum	qohum-əqraba
qohum	qohum-qardaş
bacı	bacı-qardaş
dost	dost-tanış
load	yük
meaning	məna
meaningless	mənasız
bigamy	ikiarvadlılıq
bigam	ikiarvadlı
work	işləmək
genitive	tərəfindən
genitive	uğrunda
poem	şeir
get on	minmək
translator	mütərcim
salvation	xilas
liar	yalançı
enter	girmək
alış	alış-veriş
savior	xilaskar
socialist realism	sosialist realizmi
salvation	qurtuluş
be	qurtulmaq
saving	qurtarış
salvative	qurtarıcı
save	qurtarmaq
what	nəmənə
sew	tikmək
-tion	-inti
construction	tikinti
demolition	söküntü
while	-kən
stay	qalmaq
ata	ata-baba
commerce	ticarət
nə	nə var, nə yox
World Trade Center	ticarət mərkəzi
qab	qab-qaşıq
var	var-dövlət
half	yarım
half	yarı
spectacle	tamaşa
pregnant	hamilə
do	eləmək
let go	buraxmaq
hit	vurmaq
-ness	-lıq
freedom	azadlıq
comfort	rahatlıq
brother-in-law	yeznə
street	küçə
uncomfortable	narahat
xoş	xoş gəldiniz
child	uşaq
child	övlad
viewer	tamaşaçı
calcine	bişirmək
sweat	bişmək
for example	məsələn
parent	valideyn
how	necə
wait	gözləmək
dative	görə
xoş	xoş gördük
usage	istifadə
expectation	gözlənti
people	nəfər
cigarette	siqaret
address	ünvan
golden eagle	berkut
watch	izləmək
ablative	ötrü
grandmother	nənə
grandchild	nəvə
kill	öldürmək
fill	doldurmaq
paternal uncle	əmi
everybody	hamı
earn	qazanmaq
how	nətər
often	tez-tez
hush	susmaq
silence	susdurmaq
society	cəmiyyət
doctor	həkim
ət	pişiyin əli ətə çatmayanda, deyir, ət iylənib
piece	dənə
listen	dinləmək
stand up	qalxmaq
rib	qabırğa
lift up	qaldırmaq
conflict	münaqişə
walk	gəzmək
walk	gəzdirmək
self-control	özünənəzarət
burn	yandırmaq
grateful	minnətdar
blacksmith	dəmirçi
stand	durmaq
gate	darvaza
pedophile	uşaqbaz
hold	tutmaq
last name	soyad
altı	altı-bazar
excess	artıq
some	bəzi
always	həmişə
know	tanımaq
election	seçki
choose	seçmək
discrimination	ayrı-seçkilik
mule	qatır
beat	döymək
much	çoxlu
large	yekə
high	hündür
servant	nökər
plate	boşqab
stand	dayanmaq
military	hərbçi
press	basmaq
keep	dayandırmaq
open	açmaq
still	hələ
qəpik	qəpik-quruş
minute	dəqiqə
pull	çəkmək
yorğan	yorğan-döşək
building	tikili
every	hər
no	heç
tired	yorulmaq
people	xalq
international	beynəlxalq
act	çəkilmək
start up	açılmaq
yesterday	dünən
sabah	səhər
everything	hər şey
close	yaxın
far	uzaq
right	düzgün
look for	axtarmaq
dirt	çirk
dirty	çirkli
fire	yanğın
orthodox	pravoslav
seldom	gec-gec
lose	itirmək
apparently	yəqin
nothing	heç nə
deliver	çatdırmaq
second	saniyə
store	dükan
how many	neçə
bloodshed	qırğın
no one	heç kim
no one	heç kəs
hold	saxlamaq
Derbent	Dərbənd
toilet	ayaqyolu
leaf	yarpaq
soil	torpaq
programmer	proqramçı
sower	əkinçi
librarian	kitabxanaçı
builder	inşaatçı
architect	memar
official	məmur
secretary	katib
secretary	katibə
nurse	tibb bacısı
hairdresser	bərbər
linguist	dilçi
teacher	müəllimə
firefighter	yanğınsöndürən
extinguish	söndürmək
everybody	hər kəs
necessary	lazım
quantity	qədər
where	hanı
drive	aparmaq
nominative case	adlıq hal
genitive case	yiyəlik hal
accusative case	təsirlik hal
locative case	yerlik hal
ablative case	çıxışlıq hal
comitaitve case	birgəlik hal
instrumental case	alətlik hal
prepositional case	barəlik hal
quantity	nə qədər
where	harada
when	nə vaxt
cut	kəsmək
fail	kəsilmək
customer	müştəri
obedience	itaət
disobedience	itaətsizlik
only	ancaq
duvet	yorğan
move	köçmək
short	yeryapalağı
coarse	qaba
give	bağışlamaq
ill	xəstə
hospital	xəstəxana
better	düzəlmək
straighten	düzəltmək
cut	kəsdirmək
small	balaca
mattress	döşək
Lezgi	ləzgi
əhval	əhval-ruhiyyə
unnecessary	lazımsız
improper	yersiz
butcher	qəssab
writer	yazıçı
against	qarşı
chemist	kimyaçı
chemical	kimyəvi
show	göstərmək
Astrakhan	Həştərxan
Caucasia	Qafqaz
Transcaucasia	Zaqafqaziya
worker	fəhlə
stomach	qarın
mailman	poçtalyon
entrance	giriş
exit	çıxış
awakening	oyanış
mushroom	göbələk
violence	zorakılıq
bright	aydın
light	aydınlıq
race	irq
racist	irqçi
plum	gavalı
battle	döyüş
win	uduş
flight	uçuş
direction	göstəriş
curse	söyüş
ana	ana-bacı
living	yaşayış
life	həyat
snail	ilbiz
care	qayğı
blister	qabar
heart	könül
labour	əmək
pitiable	yazıq
racism	irqçilik
learn	öyrənmək
artisanal	kustar
ki	axır
play	oynamaq
actor	aktyor
director	rejissor
siz	siz evlisiniz
sən	sən evlisən
var	bacı-qardaşın var
var	bacı-qardaşınız var
neçə	neçə bacı-qardaşın var
neçə	neçə bacı-qardaşınız var
why	niyə
fork	çəngəl
someone	kimsə
revival	dirçəliş
someone	kim isə
düşmək	başa düşmək
wheel	təkər
sound	səs
conversation	söhbət
something	nəsə
sober	ayıq
drunk	sərxoş
squirrel	sincab
separate	ayırmaq
something	nəyəsə
explain	başa salmaq
razor	ülgüc
short	qısa
invincible	basılmaz
seed	toxum
understand	qanmaq
dull	qanmaz
Hebrew	ibri
aspen	kələmbir
Tilia	کلنبوُر
white poplar	kələmbur
white poplar	göy qələmə
poplar	qələmə
orphan	yetim
a few	bir neçə
wing	qanad
scissors	qayçı
matchmaker	yengə
sport	idman
tireless	yorulmaz
fearless	qorxmaz
old	əski
stubborn	inad
stubbornness	inadkarlıq
scream	bağırmaq
anchor	lövbər
medicine	tibb
conscience	vicdan
dairy products	ağartı
stubborn	inadkar
you're welcome	dəyməz
summer	yaylaq
wintering	qışlaq
notebook	dəftər
chair	oturacaq
which	hansı
bedroom	yataq otağı
soft	yumşaq
country	ölkə
value	dəyər
high	yüksək
teach	öyrətmək
prowl	vurnuxmaq
arrangement	tədbir
profit	mənfəət
old	qoca
empty	xali
dogrose	itburnu
Cape of Good Hope	Ümid Burnu
breakfast	səhər yeməyi
why	neyçün
young	gənc
تر	tər
hoonigan	avtoş
new	təzə
old	köhnə
price	qiymət
stick	soxmaq
light	yüngül
hurt	ağrımaq
painless	ağrısız
forwards	irəli
bullet	güllə
leaf	vərəq
palm	ovuc
magnificent	müəzzəm
happiness	səadət
happy	xoşbəxt
happiness	xoşbəxtlik
unique	yeganə
opinion	rəy
civil	mülki
king	məlik
queen	məlikə
kingdom	məmləkət
big	əzim
importance	əhəmiyyət
happy	səadətli
important	mühüm
happy	məsud
fate	bəxt
unfortunate	bədbəxt
unhappiness	bədbəxtlik
beauty	hüsn
beloved	həbib
love	məhəbbət
beloved	məhbub
beloved	məhbubə
eternal	əbədi
eternity	əbədiyyət
pointer	ibrə
oboe	qoboy
work of art	əsər
emotion	təəssür
affecting	müəssir
recompense	əcr
rent	icarə
appropriation	əxz
source	məxəz
delay	təxir
particle	ədat
leave	məzuniyyət
foundation	əsas
foundation	təsis
founder	müəssis
captive	əsir
regretful	mütəəssif
horizon	üfüq
horizontal	üfüqi
familiarity	ülfət
order	əmr
deed	əməl
safety	əmn
close	ənis
humanity	insaniyyət
autograph	avtoqraf
misfortune	afət
days	əyyam
eccentric	ekssentrik
mineralogy	mineralogiya
faction	fraksiya
reporter	reportyor
disinfection	dezinfeksiya
repertoire	repertuar
premiere	premyera
figurative	məcazi
limp	axsamaq
local	məhəlli
bracelet	bazubənd
glove	əlcək
like	elə
simple	elə-belə
sweat	tərləmək
response	cavab
applause	alqış
newborn	çağa
execute	güllələmək
thief	oğru
with	ilə
hammer	çəkic
academy	akademiya
oil	neftçi
coast	sahil
inside	içəri
train station	vağzal
steal	oğurlamaq
railroad	dəmiryol
move	tərpənmək
truck	yük maşını
loader	yükçü
lesson	dərs
self-portrait	avtoportret
type	amplua
entr'acte	antrakt
archaic	arxaik
studio	atelye
military	hərbi
bark	qabıq
high-crowned	qalpaq
reed	qamış
fishing rod	qarmaq
Russian	rusiyalı
Iranian	iranlı
Italian	italyanca
Spanish	ispanca
Italian	italyan
Spaniard	ispan
comma	vergül
exclamation mark	nida işarəsi
question mark	sual işarəsi
return	qayıtmaq
return	qayıdış
get	tanışmaq
applaud	alqışlamaq
unexpected	gözlənilməz
invincible	yenilməz
dear	hörmətli
attach	taxmaq
argue	deyişmək
fly	uçmaq
fight	vuruşmaq
thick	qatı
large	qıyıq
koumiss	qımız
sheath	qın
pupil	şagird
bite	dişləmək
hen	toyuq
skin	dəri
yessir	baş üstə
payment	ödəniş
groceries	bazarlıq
purchase	alış
alğı	alğı-satqı
ağac	budaq
cold	sərin
sentence	cümlə
pour	tökmək
chop	baltalamaq
cognate	kökdaş
maybe	bəlkə
think	fikirləşmək
count	saymaq
finger	barmaqlamaq
cool down	sərinləmək
body	bədən
kinsman	qohum
torso	gövdə
kinship	qohumluq
put on	geymək
dress	geyinmək
weak	zəif
weakness	zəiflik
believe	inanmaq
resemble	oxşamaq
similar	oxşar
similarity	oxşarlıq
genitive	arasında
genitive	altında
exaggerate	şişirtmək
each other	bir-birini
platypus	ördəkburun
warm	ilıq
clever	ağıllı
movement	hərəkət
politics	siyasət
advice	məsləhət
genitive	yanında
genitive	üstündə
genitive	qabağında
genitive	arxasında
comitative	üzbəüz
youth	cavanlıq
old age	qocalıq
shy	utanmaq
ask	soruşmaq
faith	inanc
earning	qazanc
shame	utanc
jump	hoppanmaq
poplar	ağqoval
get married	evlənmək
be called	adlanmaq
increase	artmaq
kiss	öpmək
kiss	öpüşmək
tam	tam şəkildə
picture	şəkil
municipality	bələdiyyə
loud	bərkdən
suddenly	birdən-birə
slowly	yavaş-yavaş
stepwise	mərhələ-mərhələ
gradually	tədricən
step	addım
gather	yığmaq
loud	ucadan
call	zəng etmək
bell	zəng
call	zəng vurmaq
sense	hiss etmək
davam	davam etmək
continue	davam etdirmək
develop	inkişaf etmək
develop	inkişaf etdirmək
development	inkişaf
assistant	köməkçi
help	kömək etmək
help	yardım etmək
surround	əhatə etmək
attack	hücum etmək
attack	basqın etmək
dare	cəsarət etmək
calculate	hesab etmək
complain	şikayət etmək
wish	arzu etmək
invite	dəvət etmək
respect	hörmət etmək
solve	həll etmək
hurriedly	tezbazar
accept	qəbul etmək
restore	bərpa etmək
creating	bərpa
acceptance	qəbul
discover	kəşf etmək
discovery	kəşf
liquidate	ləğv etmək
treat	müalicə etmək
dance	rəqs etmək
occupy	işğal etmək
occupy	zəbt etmək
express	ifadə etmək
mark	qeyd etmək
suppose	güman etmək
rule	idarə etmək
propagate	təbliğ etmək
apply	tətbiq etmək
repeat	təkrar etmək
represent	təmsil etmək
təsdiq	təsdiq etmək
influence	təsir etmək
imagine	təsəvvür etmək
appoint	təyin etmək
promise	vəd etmək
rescue	xilas etmək
inform	xəbərdar etmək
betray	xəyanət etmək
add	əlavə etmək
grant	əfv etmək
achieve	nail olmaq
postpone	təxirə salmaq
joke	zarafat etmək
joke	zarafat
torture	işgəncə vermək
translate	tərcümə etmək
listen	qulaq asmaq
hang	asmaq
content	tərkib
text	mətn
mobilize	səfərbər etmək
tərxis	tərxis etmək
leave	tərk etmək
daxil	daxil olmaq
require	tələb etmək
deny	inkar etmək
repair	təmir etmək
instruct	təlim etmək
isolate	təcrid etmək
condemn	təkdir etmək
supply	təchiz etmək
pronounce	tələffüz etmək
provide	təmin etmək
decay	tənəzzül etmək
regulate	tənzim etmək
laze	tənbəllik etmək
found	təsis etmək
thank	təşəkkür etmək
organize	təşkil etmək
encourage	təşviq etmək
pressure	təzyiq etmək
dusty	tozlu
shortness	qısalıq
slavery	quldarlıq
present	təqdim etmək
health	sağlamlıq
pregnant	hamilə qalmaq
feebleness	cansızlıq
punitive	cəzaverici
legislative	qanunverici
darkness	qaranlıq
virginity	bakirəlik
mundane	dünyəvi
suggest	təklif etmək
describe	təsvir etmək
distort	təhrif etmək
criticize	tənqid etmək
insult	təhqir etmək
analyze	təhlil etmək
player	oyunçu
future	gələcək
past	keçmiş
distortion	təhrif
suggestion	təklif
description	təsvir
insult	təhqir
produce	istehsal etmək
exploit	istismar etmək
be born	anadan olmaq
attract	cəlb etmək
crazy	dəli
play hard to get	naz etmək
interesting	cəlbedici
insulting	təhqiredici
gather	yığışmaq
threaten	təhdid etmək
approbate	təqdir etmək
divorce	boşanmaq
think	düşünmək
annihilate	məhv etmək
phonology	fonologiya
morphological	morfoloji
phonological	fonoloji
vowel harmony	ahəng qanunu
biological	bioloji
diversity	müxtəliflik
beauty	gözəllik
rot	çürümək
badger	porsuq
sink	batmaq
crisis	böhran
dynasty	sülalə
territory	ərazi
mock	ələ salmaq
disappear	yoxa çıxmaq
shave	qırxmaq
beweapon	silahlanmaq
patch	yamaq
etymology	etimologiya
valley	dərə
refute	təkzib etmək
feel	duymaq
I don't speak English	mən ingiliscə bilmirəm
how many languages do you speak	siz neçə dil bilirsiniz
answer	cavablandırmaq
patience	dözüm
hole	deşik
soldier	əsgər
lamb	quzu
independence	istiqlal
independent	müstəqil
empty	boşaltmaq
or	yoxsa
underage	azyaşlı
madhouse	dəlixana
time	dəfə
necessary	gərəkmək
necessary	gərək
pension	pensiya
use	istifadə etmək
last	axırıncı
retiree	pensiyaçı
reader	oxucu
brothel	fahişəxana
prostitution	fahişəlik
detention	təcridxana
hope	ümid
necessary	gərəkli
Switzerland	İsveçrə
Swede	isveçli
Swiss	isveçrəli
Dane	danimarkalı
Irish	irlandiyalı
Icelander	islandiyalı
Georgian	gürcü
explain	izah etmək
lawyer	vəkil
independence	müstəqillik
deep	dərin
depth	dərinlik
Xəzər	Xəzər
letter	namə
vomit	qusmaq
yawn	əsnəmək
cowardice	qorxaqlıq
bravery	igidlik
agent	içizdirmək
lose one's way	azmaq
find	tapıntı
extraterrestrial	yadplanetli
import	idxal etmək
export	ixrac etmək
discuss	müzakirə etmək
obey	tabe olmaq
obey	itaət etmək
narrate	nəql etmək
good news	müjdə
telegraph	teleqraf
good news	müjdəçi
reward	muştuluq
good news	muştuluqçu
visit	ziyarət etmək
pay	ödəmək
elə	elə bil
də	özü də
at once	əlüstü
majority	əksəriyyət
immediately	dərhal
equal	yaşdaş
now and then	arabir
quit	tərgitmək
fridge	soyuducu
vacuum cleaner	tozsoran
melt	ərimək
addım	addım-addım
harrier	belibağlı
suffer	itki vermək
decide	qərar vermək
permit	yol vermək
noise	səs salmaq
sign	qol çəkmək
sign	imza atmaq
touch	əl vurmaq
gəlmək	üst-üstə gəlmək
encounter	rast gəlmək
mother-in-law	qayınana
father-in-law	qayınata
ant	qarınca
sympathy	rəğbət
kamancheh	kamança
son-in-law	kürəkən
cinder	kösöv
young camel	köşək
falcon	qızılquş
take out	çıxarmaq
finish	başa vurmaq
end	bitmək
glad	şad
walk	yerimək
fuel	yanacaq
udder	əmcək
say	ayıtmaq
historian	tarixçi
historically	tarixən
come down	çökmək
mix	qarışmaq
go	varmaq
old woman	qarı
gnaw	gəmirmək
rodent	gəmirici
carnivore	yırtıcı
handkerchief	dəsmal
teahouse	çayxana
cook	aşpaz
punish	cəzalandırmaq
punisher	cəzalandırıcı
be	cəzalanmaq
punishment	cəza
sober	ајыг
sober	آیؽق
drunk	içkili
unconscious	bayğın
awake	oyaq
alert	sayıq
vigilant	sərvaxt
open-eyed	gözüaçıq
sobriety	ayıqlıq
asleep	yatmış
again	yenə
armpit	qoltuq
mud	palçıq
lie	uzanmaq
milad	milad bayramınız mübarək
milad	milad bayramın mübarək
Yeni il	Yeni İlin mübarək
Yeni İl	Yeni İliniz mübarək
agenda	gündəm
daily	gündəlik
how much does it cost	qiyməti nə qədərdir
how much does it cost	neçiyədir
pant	tıncıxmaq
rest	dincəlmək
speech	danışıq
question	danışdırmaq
steep	sarp
progressive	qabaqcıl
beforehand	qabaqcadan
pass	qabaqlamaq
whole	bütöv
colingual	dildaş
colingual	həmdilli
interlocutor	həmsöhbət
colleague	həmkar
bu	bu gün ayın neçəsidir
present	hal-hazır
currently	hal-hazırda
chin	çənə
cheek	yanaq
overthrow	devirmək
bridle	yüyən
stirrup	üzəngi
ring	üzük
itch	qaşınmaq
wheat	buğda
hide	gizləmək
hide	gizlətmək
hide	gizlənmək
abundance	bolluq
music	musiqi
musician	musiqiçi
slap	şapalaq
standard language	ədəbi dil
colonel	polkovnik
undergrowth	cəngəl
crane	durna
glass	şüşə
womb	bətn
contaminate	bulamaq
turbid	bulanıq
beetroot	çuğundur
anger	acıq
pure	xalis
servant	gədə
