Monday	ორშაბათი
dahlia	გეორგინა
geophysics	გეოფიზიკა
blazon	გერბი
ghetto	გეტო
drought	გვალვა
aridity	გვალვიანობა
saltpetre	გვარჯილა
adder	გველგესლა
conger eel	გველთევზა
fern	გვიმრა
subway	გვირაბი
camomile	გვირილა
turtle dove	გვრიტი
vade-mecum	გზამკვლევი
wayside	გზისპირი
gibbon	გიბონი
Gibraltar	გიბრალტარი
guild	გილდია
guillotine	გილიოტინა
guinea	გინეა
black	ზანგი
gynaecologist	გინეკოლოგი
gynaecology	გინეკოლოგია
gage	გირაო
festoon	გირლანდა
grating	გისოსი
gladiator	გლადიატორი
gladiolus	გლადიოლუსი
glaucoma	გლაუკომა
dog's-tooth	გლერტა
countryman	გლეხი
peasantry	გლეხობა
glycerine	გლიცერინი
glucose	გლუკოზა
feat	გმირობა
grouse	გნოლი
gnome	გნომი
arras	გობელენი
plate	გობი
goblin	გობლინი
sulphur	გოგირდი
pumpkin	გოგრა
Goth	გოთი
Calvary	გოლგოთა
giant	გოლიათი
golf	გოლფი
gondola	გონდოლა
gondolier	გონდოლიერი
prudence	გონიერება
reasonableness	გონივრულობა
Adjara	გონიო
gonorrhea	გონორეა
ball	გორგალი
castor	გორგოლაჭი
Gordon	გორდონი
gorilla	გორილა
Gorky	გორკი
piglet	გოჭი
spans	გოჯი
scroll	გრაგნილი
gradation	გრადაცია
grade	გრადუსი
gravure	გრავიურა
grammarian	გრამატიკოსი
gramme	გრამი
gramophone	გრამოფონი
granite	გრანიტი
graph	გრაფიკი
decanter	გრაფინი
black-lead	გრაფიტი
grace	გრაცია
Greg	გრეგი
Gregory	გრეგორი
pomelo	გრეიპფრუტი
grenadier	გრენადერი
torsion	გრეხა
grimace	გრიმასა
greasepaint	გრიმი
Greenwich	გრინვიჩი
fingerboard	გრიფი
gryphon	გრიფონი
grotesque	გროტესკი
ground	გრუნტი
longitude	გრძედი
consciousness	გრძნობა
sensuality	გრძნობადობა
gouache	გუაში
cuckoo	გუგული
plough	გუთანი
Goths	გუთები
ploughboy	გუთნისდედა
frankness	გულახდილობა
apathy	გულგრილობა
guilder	გულდენი
goulash	გულიაში
affability	გულითადობა
shirt-front	გულისპირი
nausea	გულისრევა
heartbeat	გულისცემა
bonhomie	გულკეთილობა
forgetfulness	გულმავიწყობა
thorax	გულმკერდი
zeal	გულმოდგინება
mercies	გულმოწყალება
apron	გულსაფარი
bounties	გულუხვობა
openness	გულღიაობა
redbreast	გულწითელა
candour	გულწრფელობა
gum	გუმფისი
gourmand	გურმანი
gutta-percha	გუტაპერჩი
guard	გუშაგი
disease	დაავადება
puzzlement	დაბნეულობა
daguerreotype	დაგეროტიპი
task	დავალება
arrears	დავალიანება
psalter	დავითნი
calender	დავრიში
bench	დაზგა
bruin	დათუნია
sister	დაიკო
timbrel	დაირა
afterglow	დაისი
sinuosity	დაკლაკნილობა
burial	დაკრძალვა
Dallas	დალასი
Dalton	დალტონი
hide-and-seek	დამალობანა
Damascus	დამასკო
addenda	დამატება
dike	დამბა
apoplexy	დამბლა
amah	დამლაგებელი
delinquency	დამნაშავეობა
Damocles	დამოკლე
conqueror	დამპყრობელი
mentor	დამრიგებელი
holiday-maker	დამსვენებელი
deliverer	დამტარებელი
hallmark	დამღა
malignancy	დამღუპველობა
scorch	დამწვრობა
annex	დანართი
prescript	დანიშნულება
blind	დარაბა
guard	დარაჯი
durbar	დარბაზობა
branch	დარგი
end	დასასრული
permissiveness	დასაშვებობა
beginning	დასაწყისი
conclusion	დასკვნა
batch	დასტა
cantaloupe	დასტამბო
boisterousness	დაუდგრომლობა
carelessness	დაუდევრობა
complaisance	დაუზარებლობა
impunity	დაუსჯელობა
improbabilities	დაუჯერებლობა
plate	დაფა
laurel	დაფნა
exhaustion	დაქანცულობა
discreteness	დაქსაქსულობა
dactyl	დაქტილი
moodiness	დაღვრემილობა
blemish	დაღი
fatigue	დაღლილობა
dissolubility	დაშლადობა
strain	დაძაბულობა
institution	დაწესებულება
finesse	დახვეწილობა
counter	დახლი
bevel	დახრილობა
piston	დგუში
debits	დებეტები
debit	დებეტი
deb	დებიუტანტი
debut	დებიუტი
degenerate	დეგენერატი
degradation	დეგრადაცია
taster	დეგუსტატორი
gist	დედაარსი
mother-in-law	დედამთილი
capital	დედაქალაქი
stepmother	დედინაცვალი
maternity	დედობა
foster-mother	დედობილი
devaluation	დევალვაცია
motto	დევიზი
antirrhinum	დევისპირა
deserter	დეზერტირი
desertion	დეზერტირობა
disinfection	დეზინფექცია
delphinium	დეზურა
aunt	დეიდა
deism	დეიზმი
deist	დეისტი
decadent	დეკადენტი
deanery	დეკანატი
dean	დეკანი
declamation	დეკლამაცია
declaration	დეკლარაცია
dresser	დეკორატორი
decoration	დეკორაცია
fiat	დეკრეტი
delegate	დელეგატი
delegacy	დელეგაცია
delta	დელტა
dolphin	დელფინი
demagogue	დემაგოგი
demagogy	დემაგოგია
demarcation	დემარკაცია
demography	დემოგრაფია
democrat	დემოკრატი
daemon	დემონი
demo	დემონსტრაცია
dismantlement	დემონტაჟი
Denis	დენისი
cable	დეპეშა
deposit	დეპოზიტი
bailor	დეპონენტი
deportation	დეპორტაცია
depression	დეპრესია
deputation	დეპუტაცია
Darby	დერბი
corridor	დერეფანი
dervish	დერვიში
dermatitis	დერმატიტი
dermatologist	დერმატოლოგი
dermatology	დერმატოლოგია
afters	დესერტი
envoi	დესპანი
despot	დესპოტი
despotism	დესპოტიზმი
detail	დეტალი
whodunit	დეტექტივი
detonator	დეტონატორი
detonation	დეტონაცია
defect	დეფექტი
hyphen	დეფისი
bad	დეფიციტი
disinflation	დეფლაცია
dextrose	დექსტროზა
barm	დვრიტა
diabetes	დიაბეტი
diagnosis	დიაგნოზი
diagonal	დიაგონალი
diadem	დიადემა
dialect	დიალექტი
dialectic	დიალექტიკა
dialectician	დიალექტიკოსი
dialogue	დიალოგი
diameter	დიამეტრი
Diana	დიანა
amplitude	დიაპაზონი
diarrhea	დიარეა
goody	დიასახლისი
Diaspora	დიასპორა
midriff	დიაფრაგმა
lordliness	დიდებულება
generosity	დიდსულოვნება
sharp	დიეზი
banting	დიეტა
diversionist	დივერსანტი
dividend	დივიდენდი
diesel	დიზელი
dysentery	დიზენტერია
Dick	დიკი
dungeon	დილეგი
dilemma	დილემა
dealer	დილერი
amateur	დილეტანტი
amateurism	დილეტანტიზმი
dynamism	დინამიზმი
dynamics	დინამიკა
dynamic	დინამიკი
dynamite	დინამიტი
dinar	დინარი
dynasty	დინასტია
snout	დინგი
current	დინება
dynes	დინები
Dean	დინი
diplomat	დიპლომატი
diplomacy	დიპლომატია
diploma	დიპლომი
directive	დირექტივა
directorate	დირექტორატი
director	დირექტორი
directorship	დირექტორობა
airship	დირიჟაბლი
bandmaster	დირიჟორი
dissertation	დისერტაცია
dissident	დისიდენტი
disc	დისკო
discomfort	დისკომფორტი
dislocation	დისლოკაცია
dissonance	დისონანსი
dispensary	დისპანსერი
dyspepsia	დისპეფსია
apposition	დისპუტი
distiller	დისტილატორი
distillation	დისტილაცია
discipline	დისციპლინა
dune	დიუნი
diffraction	დიფრაქცია
diffusion	დიფუზია
dichotomy	დიქოტომია
autocrat	დიქტატორი
dictatorship	დიქტატურა
announcer	დიქტორი
sisterhood	დობა
dogma	დოგმა
tenet	დოგმატი
dogmatism	დოგმატიზმი
dose	დოზა
dosage	დოზირება
docker	დოკერი
documentation	დოკუმენტაცია
millstone	დოლაბი
dollar	დოლარი
dolmen	დოლმენი
dominion	დომინიონი
domino	დომინო
Donald	დონალდი
level	დონე
Donetsk	დონეცკი
blood-donor	დონორი
Dora	დორა
slobber	დორბლი
dossier	დოსიე
subvention	დოტაცია
doctrine	დოქტრინა
dragoon	დრაგუნი
dramatization	დრამატიზაცია
dramatist	დრამატურგი
drachm	დრაქმა
dreadnought	დრედნოუტი
driftage	დრეიფი
elasticity	დრეკადობა
catchment	დრენაჟი
fruit-fly	დროზოფილა
pastime	დროსტარება
relevance	დროულობა
druid	დრუიდი
muzzle	დრუნჩი
doublet	დუბლიკატი
Dublin	დუბლინი
understudy	დუბლიორი
back-up	დუბლირება
Douglas	დუგლასი
duel	დუელი
duelist	დუელისტი
duet	დუეტი
ducat	დუკატი
silence	დუმილი
dozen	დუჟინი
joiner	დურგალი
Duce	დუჩე
name-day	დღეობა
festival	დღესასწაული
ebonite	ებონიტი
eczema	ეგზემა
aegis	ეგიდა
egoism	ეგოიზმი
egotism	ეგოტიზმი
Edgar	ედგარი
edelweiss	ედელვაისი
Edward	ედვარდი
Edinburgh	ედინბურგი
edict	ედიქტი
Edmund	ედმუნდი
Eva	ევა
evacuation	ევაკუაცია
eugenics	ევგენიკა
evolution	ევოლუცია
euphemism	ევფემიზმი
yard	ეზო
aether	ეთერი
ethic	ეთიკა
ethyl	ეთილი
ethnographer	ეთნოგრაფი
ethnography	ეთნოგრაფია
ethnologist	ეთნოლოგი
ethnology	ეთნოლოგია
bur	ეკალი
Katherine	ეკატერინე
equator	ეკვატორი
equivalent	ეკვივალენტი
crew	ეკიპაჟი
ecliptic	ეკლიპტიკა
ecologist	ეკოლოგი
ecology	ეკოლოგია
saving	ეკონომია
economics	ეკონომიკა
economist	ეკონომისტი
thrift	ეკონომიურობა
screen	ეკრანი
elegy	ელეგია
component	ელემენტი
elixir	ელექსირი
electorate	ელექტორატი
electricity	ელექტრობა
electrode	ელექტროდი
electrolysis	ელექტროლიზი
electrolyte	ელექტროლიტი
electron	ელექტრონი
electrochemistry	ელექტროქიმია
Eliza	ელიზა
elision	ელიზია
Elysium	ელიზიუმი
Hellene	ელინი
ellipse	ელიფსი
ellipsis	ელიფსისი
elf	ელფი
ambassador	ელჩი
Emma	ემა
efflux	ემანაცია
emancipation	ემანსიპაცია
embargo	ემბარგო
emblem	ემბლემა
embryo	ემბრიონი
emigrant	ემიგრანტი
emigration	ემიგრაცია
Emily	ემილი
emirate	ემირატი
emeer	ემირი
empiricism	ემპირიზმი
empiricist	ემპირიკოსი
emulsion	ემულსია
stammer	ენაბლუობა
madder	ენდრო
energy	ენერგია
enthusiasm	ენთუზიაზმი
enthusiast	ენთუზიასტი
coon	ენოტი
enteritis	ენტერიტი
entomologist	ენტომოლოგი
entomology	ენტომოლოგია
diocese	ეპარქია
epigram	ეპიგრამა
epidemic	ეპიდემია
epidemiologist	ეპიდემიოლოგი
epidermis	ეპიდერმისი
epidiascope	ეპიდიასკოპი
episode	ეპიზოდი
epithet	ეპითეტი
epilepsy	ეპილეფსია
epilogue	ეპილოგი
epistle	ეპისტოლე
epitaph	ეპიტაფია
epicentre	ეპიცენტრი
epaulet	ეპოლეტი
era	ეპოქა
heresy	ერესი
heretic	ერეტიკოსი
adherence	ერთგულება
simultaneity	ერთდროულობა
ensemble	ერთიანობა
sameness	ერთნაირობა
aggregate	ერთობლიობა
drabness	ერთფეროვნება
Erica	ერიკა
Eric	ერიკი
layman	ერისკაცი
Ernest	ერნესტი
nationality	ეროვნება
erosion	ეროზია
erudition	ერუდიცია
archduke	ერცჰერცოგი
essay	ესეი
essayist	ესეისტი
aesthete	ესთეტი
aesthetics	ესთეტიკა
squadron	ესკადრონი
escalator	ესკალატორი
escalation	ესკალაცია
escort	ესკორტი
Esperanto	ესპერანტო
trestle	ესტაკადა
etiquette	ეტიკეტი
etymology	ეტიმოლოგია
study	ეტიუდი
effendi	ეფენდი
showiness	ეფექტურობა
hexagon	ექვსკუთხედი
powwow	ექიმბაში
quackery	ექიმბაშობა
echo	ექო
excrement	ექსკრემენტი
camper	ექსკურსანტი
excursion	ექსკურსია
expedition	ექსპედიცია
exploitation	ექსპლუატაცია
exhibit	ექსპონატი
exhibitor	ექსპონენტი
exporter	ექსპორტიორი
express	ექსპრესი
expression	ექსპრესია
impromptu	ექსპრომტი
ecstasy	ექსტაზი
extract	ექსტრაქტი
extremist	ექსტრემისტი
exhumation	ექსჰუმაცია
echelon	ეშელონი
artfulness	ეშმაკობა
doubt	ეჭვი
jealousy	ეჭვიანობა
wagon	ვაგონი
vaseline	ვაზელინი
cartridge	ვაზნა
never mind	არა უშავს
vacancy	ვაკანსია
plain	ვაკე
vacuum	ვაკუუმი
commitment	ვალდებულება
valence	ვალენტობა
waltz	ვალსი
currency	ვალუტა
vampire	ვამპირი
vandalism	ვანდალიზმი
vanilla	ვანილი
son	ვაჟი
masculinity	ვაჟკაცურობა
conjecture	ვარაუდი
applicability	ვარგისობა
chicory	ვარდკაჭაჭა
pullet	ვარია
variation	ვარიაცია
haircut	ვარცხნილობა
Waterloo	ვატერლოო
watt	ვატი
Vatican	ვატიკანი
wafer	ვაფლი
blacking	ვაქსი
vaccine	ვაქცინა
vaccination	ვაქცინაცია
nectarine	ვაშლატამა
billy-goat	ვაცი
merchant	ვაჭარი
marketing	ვაჭრობა
vizier	ვეზირი
corduroy	ველვეტი
bicycle	ველოსიპედი
savageness	ველურობა
Venus	ვენერა
Venice	ვენეცია
aeration	ვენტილაცია
perfidy	ვერაგობა
veranda	ვერანდა
verbena	ვერბენა
verdict	ვერდიქტი
vermicelli	ვერმიშელი
Vernon	ვერნონი
speedwell	ვერონიკა
version	ვერსია
helicopter	ვერტმფრენი
dockyard	ვერფი
Aries	ვერძი
Populus tremula	ვერხვი
western	ვესტერნი
antechamber	ვესტიბიული
veteran	ვეტერანი
vet	ვეტერინარი
veto	ვეტო
vector	ვექტორი
რა უშავს	რა უშავს
viaduct	ვიადუკი
oscillator	ვიბრატორი
video	ვიდეო
Vivien	ვივიენი
vivisection	ვივისექცია
visa	ვიზა
visit	ვიზიტი
circumstance	ვითარება
Viking	ვიკინგი
viscount	ვიკონტი
villa	ვილა
streamer	ვიმპელი
vinaigrette	ვინეგრეტი
vignette	ვინიეტი
Vincent	ვინსენტი
viol	ვიოლა
Violet	ვიოლეტა
cod	ვირთევზა
rat	ვირთხა
virtuoso	ვირტუოზი
virtuosity	ვირტუოზობა
virus	ვირუსი
virology	ვირუსოლოგია
Virginia	ვირჯინია
whist	ვისტი
vitalism	ვიტალიზმი
vitalist	ვიტალისტი
vitamin	ვიტამინი
shopwindow	ვიტრინა
Victor	ვიქტორი
Victoria	ვიქტორია
ardour	ვნება
vaudeville	ვოდევილი
vocalist	ვოკალისტი
volt	ვოლტი
tungsten	ვოლფრამი
veil	ვუალი
vulgarization	ვულგარიზაცია
vulgarism	ვულგარიზმი
slanginess	ვულგარულობა
vulcanization	ვულკანიზაცია
Zaire	ზაირი
fleur-de-lis	ზამბახი
suede leather	ზამში
cannon	ზარბაზანი
cabinet	ზარდახშა
crocus	ზაფრანა
zebra	ზებრა
stress	ზეგავლენა
highland	ზეგანი
trivet	ზედადგარი
ganger	ზედამხედველი
overskirt	ზედაწელი
rough-and-tumble	ზედახორა
olive	ზეთისხილი
jollification	ზეიმი
locksmith	ზეინკალი
Zealand	ზელანდია
ascendency	ზემოქმედება
heyday	ზენიტი
peroxide	ზეჟანგი
superficialities	ზერელობა
aura	ზეფირი
sheet	ზეწარი
avalanche	ზვავი
sacrificial livestock	ზვარაკი
rick	ზვინი
wave	ზვირთი
surf	ზვირთცემა
damage	ზიანი
zigzag	ზიგზაგი
daisy	ზიზილა
zloty	ზლოტი
baldric	ზოდიაქო
measure	ზომა
abstemiousness	ზომიერება
zone	ზონა
braid	ზონარი
probe	ზონდი
zoologist	ზოოლოგი
zoology	ზოოლოგია
politeness	ზრდილობა
sturgeon	ზუთხი
ramrod	ზუმბა
emery	ზუმფარა
knapsack	ზურგჩანთა
fairytale	ზღაპარი
bound	ზღვარი
threshold	ზღურბლი
gypsum	თაბაშირი
civilities	თავაზიანობა
dizziness	თავბრუ
self-abnegation	თავგანწირვა
assailant	თავდამსხმელი
attack	თავდასხმა
self-defence	თავდაცვა
surety	თავდები
bond	თავდებობა
consternation	თავზარი
distinctness	თავისებურება
stable	თავლა
modesty	თავმდაბლობა
chairman	თავმჯდომარე
restiveness	თავნებობა
headdress	თავსაბურავი
brain-teaser	თავსატეხი
kerchief	თავსაფარი
groundsel	თავყვითელა
handkerchief	თავშალი
abstinence	თავშეკავება
boldness	თავხედობა
paw	თათი
bouquet	თაიგული
swede	თალგამურა
Talmud	თალმუდი
plank	თამასა
bill of exchange	თამასუქი
baccy	თამბაქო
coexistence	თანაარსებობა
bowels	თანაგრძნობა
compatriot	თანამემამულე
cotenant	თანამოიჯარე
accessary	თანამონაწილე
interlocutor	თანამოსაუბრე
confr`ere	თანამოძმე
employee	თანამშრომელი
equality	თანასწორობა
correlation	თანაფარდობა
bract	თანაყვავილი
adjunct	თანაშემწე
cohabitation	თანაცხოვრება
sum	თანხა
accompaniment	თანხლება
accord	თანხმობა
consonant	თანხმოვანი
generation	თაობა
spirit-level	თარაზო
interpretations	თარგმანები
board	თარო
bowl	თასი
braid	თასმა
arc	თაღი
con-man	თაღლითი
fraud	თაღლითობა
idolization	თაყვანისცემა
beaver	თახვი
playgoer	თეატრალი
theatre	თეატრი
Theodore	თევდორე
fishing	თევზაობა
thesis	თეზისი
snowdrop	თეთრყვავილა
theism	თეიზმი
Teheran	თეირანი
cart-track	თემშარა
Theo	თეო
theodolite	თეოდოლიტი
theologian	თეოლოგი
theology	თეოლოგია
theorem	თეორემა
theoretician	თეორეტიკოსი
theory	თეორია
therapist	თერაპევტი
therapeutics	თერაპია
thermometer	თერმომეტრი
thermos	თერმოსი
thermostat	თერმოსტატი
Thessaloniki	თესალონიკი
hip	თეძო
pink	თვალაკი
ken	თვალთახედვა
assumption	თვალთმაქცობა
self-will	თვითნებობა
cat-nap	თვლემა
hernia	თიაქარი
hay	თივა
baize	თივთიკი
bobbin	თითისტარი
mascot	თილისმა
kidney	თირკმელი
hairiness	თმიანობა
nosebag	თოფრა
dig	თოხი
doll	თოჯინა
flutter	თრთოლა
weasel	თრითინა
thrombosis	თრომბი
zinc	თუთია
sumac	თუთუბო
lye	თუთქი
tin-plate	თუნუქი
colander	თუშფალანგი
apex	თხემი
composition	თხზულება
ski	თხილამური
recital	თხრობა
jaguar	იაგუარი
yak	იაკი
Jacob	იაკობი
sail	იალქანი
iamb	იამბი
Yank	იანკი
Janus	იანუსი
Japanese	იაპონელი
slash	იარა
yard	იარდი
docket	იარლიყი
Yaroslavi	იაროსლავი
storey	იარუსი
jasper	იასპი
yacht	იახტა
fable	იგავი
idea	იდეა
ideal	იდეალი
idealization	იდეალიზაცია
idealism	იდეალიზმი
idealist	იდეალისტი
identities	იდენტურობა
ideogram	იდეოგრამა
ideology	იდეოლოგია
idyll	იდილია
idiom	იდიომა
idiocy	იდიოტიზმი
eeriness	იდუმალება
Jesuit	იეზუიტი
azalea	იელი
yen	იენა
assault	იერიში
hieroglyph	იეროგლიფი
Jesus	იესო
Ivane	ივანე
Isabella	იზაბელა
Izmir	იზმირი
isobar	იზობარა
isotherm	იზოთერმი
insulator	იზოლატორი
insulation	იზოლაცია
isotope	იზოტოპი
cardamom	ილი
helot	ილოტი
conjurer	ილუზიონისტი
bull's-eye	ილუმინატორი
illustrator	ილუსტრატორი
illustration	ილუსტრაცია
imam	იმამი
imitator	იმიტატორი
imitation	იმიტაცია
mimicry	იმიტირება
empire	იმპერია
imperialism	იმპერიალიზმი
imperialist	იმპერიალისტი
impeachment	იმპიჩმენტი
importer	იმპორტერი
import	იმპორტი
impotence	იმპოტენცია
impresario	იმპრესარიო
improvisation	იმპროვიზაცია
impulsion	იმპულსი
impulsiveness	იმპულსურობა
immunization	იმუნიზაცია
immunology	იმუნოლოგია
inauguration	ინაუგურაცია
Englishman	ინგლისელი
ingredient	ინგრედიენტი
turkey	ინდაური
index	ინდექსი
Indiana	ინდიანა
Indian	ინდიელი
individual	ინდივიდუუმი
indicator	ინდიკატორი
Hindustani	ინდოელი
Hinduism	ინდუიზმი
Hindu	ინდუსი
magneto	ინდუქტორი
stagnancy	ინერტულობა
inertia	ინერცია
invalidism	ინვალიდობა
inventory	ინვენტარი
inversion	ინვერსია
initials	ინიციალები
initiative	ინიციატივა
inquisitor	ინკვიზიტორი
inquisition	ინკვიზიცია
incrustation	ინკრუსტაცია
hatchery	ინკუბატორი
incubation	ინკუბაცია
engineer	ინჟინერი
inspector	ინსპექტორი
instinct	ინსტინქტი
institute	ინსტიტუტი
apparatus	ინსტრუმენტი
briefing	ინსტრუქტაჟი
trainer	ინსტრუქტორი
insulin	ინსულინი
integration	ინტეგრაცია
intellect	ინტელექტი
intellectual	ინტელექტუალი
intelligentsia	ინტელიგენცია
intensities	ინტენსივობა
interest	ინტერესი
intervention	ინტერვენცია
interview	ინტერვიუ
interviewer	ინტერვიუერი
interior	ინტერიერი
intermezzo	ინტერმედია
interpellation	ინტერპელაცია
interpolation	ინტერპოლაცია
intonation	ინტონაცია
intrigue	ინტრიგა
mischief-maker	ინტრიგანი
intuition	ინტუიცია
infantilism	ინფანტილიზმი
contagion	ინფექცია
infiltration	ინფილტრაცია
infinitive	ინფინიტივი
inflation	ინფლაცია
majestic	დიდებული
discotheque	დისკოტეკა
devoted	ერთგული
wrong	მტყუანი
informant	ინფორმატორი
information	ინფორმაცია
Job	იობი
yoga	იოგა
iodine	იოდი
Jonah	იონა
ion	იონი
ionization	იონიზაცია
Jordan	იორდანე
peony	იორდასალამი
York	იორკი
iota	იოტი
Johannesburg	იოჰანესბურგი
hippodrome	იპოდრომი
Iranian	ირანელი
Irene	ირენი
irrigation	ირიგაცია
iridium	ირიდიუმი
Irish	ირლანდიელი
ironies	ირონია
Isaac	ისააკი
sedge	ისლი
spinach	ისპანახი
hysteria	ისტერია
historian	ისტორიკოსი
Italian	იტალიელი
Yugoslavia	იუგოსლავია
Judas	იუდა
Judaism	იუდაიზმი
goldsmith	იუველირი
drollery	იუმორი
humorist	იუმორისტი
Jove	იუპიტერი
jurisdiction	იურისდიქცია
jurist	იურისტი
rareness	იშვიათობა
sciatica	იშიასი
lease	იჯარა
dress	კაბა
cabaret	კაბარე
cabin	კაბინა
cabinet	კაბინეტი
convertible	კაბრიოლეტი
cadenza	კადენცია
slat	კადონი
quadrille	კადრილი
cavalry	კავალერია
cavalryman	კავალერისტი
cavalcade	კავალკადა
cavern	კავერნა
crotchet	კავი
connection	კავშირი
casein	კაზეინი
casino	კაზინო
casuist	კაზუისტი
casuistry	კაზუისტიკა
lectern	კათედრა
cathode	კათოდი
Catholic	კათოლიკე
Catholicism	კათოლიციზმი
Kaiser	კაიზერი
cockatoo	კაკადუ
cacao	კაკაო
cacophony	კაკაფონია
buzzard	კაკაჩა
tin	კალა
basket	კალათა
basketball	კალათბურთი
basket	კალათი
pun	კალამბური
rut	კალაპოტი
bricklayer	კალატოზი
kaleidoscope	კალეიდოსკოპი
almanac	კალენდარი
Calvinism	კალვინიზმი
Calvinist	კალვინისტი
lap	კალთა
grasshopper	კალია
calibre	კალიბრი
calligraphy	კალიგრაფია
tracing paper	კალკი
Calcutta	კალკუტა
calorie	კალორია
galosh	კალოში
dill	კამა
die	კამათელი
argument	კამათი
arc	კამარა
brill	კამბალა
camellia	კამელია
bladder	კამერა
dresser	კამერდინერი
tuning-fork	კამერტონი
buffalo	კამეჩი
campaign	კამპანია
Canadian	კანადელი
canalization	კანალიზაცია
canapé	კანაპე
hemp	კანაფი
candidate	კანდიდატი
candidature	კანდიდატურა
cannibalism	კანიბალიზმი
canyon	კანიონი
canister	კანისტრა
quake	კანკალი
canoe	კანოე
cannonade	კანონადა
legalism	კანონიერება
canonization	კანონიზაცია
lawgiver	კანონმდებელი
bill	კანონპროექტი
cantata	კანტატა
chancellor	კანცლერი
shin	კანჭი
bumboat	კანჯო
kaolin	კაოლინი
kopek	კაპიკი
capillary	კაპილარი
capital	კაპიტალი
capitalism	კაპიტალიზმი
capitalist	კაპიტალისტი
captain	კაპიტანი
Capitol	კაპიტოლიუმი
defeatist	კაპიტულანტი
capitulation	კაპიტულაცია
cowl	კაპიუშონი
corporal	კაპრალი
caprice	კაპრიზი
flint	კაჟი
carbine	კარაბინი
cupboard	კარადა
tabernacle	კარავი
caramel	კარამელი
quarantine	კარანტინი
carat	კარატი
carbide	კარბიდი
carburettor	კარბიურატორი
anthrax	კარბუნკული
cardinal	კარდინალი
career	კარიერა
careerist	კარიერისტი
caricature	კარიკატურა
courtier	კარისკაცი
backbone	კარკასი
karma	კარმა
carnival	კარნავალი
dictate	კარნახი
cornice	კარნიზი
cartel	კარტელი
card	კარტი
cartographer	კარტოგრაფი
carousel	კარუსელი
cassette	კასეტი
barrel	კასრი
caste	კასტა
castration	კასტრაცია
valerian	კატაბალახა
clematis	კატაბარდა
cataclysm	კატაკლიზმი
catalysis	კატალიზი
catalogue	კატალოგი
catafalque	კატაფალკი
catechism	კატეხიზმო
chop	კატლეტი
penitentiary	კატორღა
cowrie	კაური
india rubber	კაუჩუკი
buttonhook	კაუჭი
café	კაფე
cafeteria	კაფეტერია
capsule	კაფსული
cactus	კაქტუსი
muffler	კაშნე
barrage	კაშხალი
humanity	კაცობრიობა
underling	კაცუნა
magpie	კაჭკაჭი
cogwheel	კბილანა
cab	კები
skittle	კეგლი
cedar	კედარი
cud	კევი
well-being	კეთილდღეობა
leprosy	კეთრი
lazars	კეთროვნები
Caesar	კეისარი
coquetry	კეკლუცობა
Celt	კელტი
berry	კენკრა
centaur	კენტავრი
boulder	კენჭი
vote	კენჭისყრა
kepi	კეპი
ceramics	კერამიკა
curries	კერი
nipple	კერტი
forget-me-not	კესანე
caisson	კესონი
bludgeon	კეტი
nape	კეფა
Quaker	კვაკერი
flue	კვამლსადენი
bowline	კვანძი
quarter	კვარტალი
quartet	კვარტეტი
quartz	კვარცი
pedestal	კვარცხლბეკი
sections	კვეთები
pastille	კვერი
marten	კვერნა
quietism	კვიეტიზმი
quintessence	კვინტესენცია
quintet	კვინტეტი
cypress	კვიპაროსი
zinnia	კვირისტავა
bud	კვირტი
colt	კვიცი
caraway	კვლიავი
groan	კვნესა
quorum	კვორუმი
quota	კვოტა
blackthorn	კვრინჩხი
ladder	კიბე
cybernetics	კიბერნეტიკა
barnacle	კიბო
crab	კიბორჩხალა
Kiev	კიევი
questionnaire	კითხვარი
gunman	კილერი
keel	კილი
kilowatt	კილოვატი
squabble	კინკლაობა
camera	კინოაპარატი
cine-camera	კინოკამერა
newsreel	კინოჟურნალი
cine-film	კინოფილმი
booth	კიოსკი
limestone	კირქვა
blouse	კიტელი
stern	კიჩო
fingerboard	კლავიატურა
clavichord	კლავიკორდი
tribe	კლანი
clarinet	კლარნეტი
clarinetist	კლარნეტისტი
class	კლასი
classic	კლასიკოსი
classification	კლასიფიკაცია
classicism	კლასიციზმი
classicist	კლასიცისტი
cliff	კლდე
Clement	კლემენტი
kleptomania	კლეპტომანია
clerk	კლერკი
client	კლიენტი
clientele	კლიენტურა
Cleveland	კლივლენდი
climate	კლიმატი
climatology	კლიმატოლოგია
clinic	კლინიკა
clinker	კლინკერი
lock	კლიტე
cliché	კლიშე
Claud	კლოდი
clone	კლონი
buffoon	კლოუნი
club	კლუბი
content	კმაყოფილება
coalition	კოალიცია
cobalt	კობალტი
cobra	კობრა
carp	კობრი
coda	კოდა
woodpecker	კოდალა
codeine	კოდეინი
codification	კოდიფიკაცია
coefficient	კოეფიციენტი
cowboy	კოვბოი
trump	კოზირი
coyote	კოიოტი
cocaine	კოკაინი
cockade	კოკარდა
cocotte	კოკოტი
kola	კოლა
calico	კოლენკორი
hummingbird	კოლიბრი
colitis	კოლიტი
colonnade	კოლონადა
colony	კოლონია
colonialism	კოლონიალიზმი
colonizer	კოლონიზატორი
colonization	კოლონიზაცია
colonist	კოლონისტი
coloratura	კოლორატურა
colossi	კოლოსი
kohlrabi	კოლრაბი
Columbus	კოლუმბი
coma	კომა
dungarees	კომბინეზონი
cabbage	კომბოსტო
comedy	კომედია
comment	კომენტარი
